 Configuration with minimum energy:            1
 Configuration with maximum energy:            4

Temperature=      1.0000
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
         1         4  0.000000E+00      1.0000      0.2500
         2         4  0.236027E-01      0.0000      0.0000
         3         2  0.967550E-02      0.0000      0.0000
         4         2  0.314250E-01      0.0000      0.0000


Temperature=    300.0000
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
         1         4  0.000000E+00      0.5281      0.1320
         2         4  0.236027E-01      0.2119      0.0530
         3         2  0.967550E-02      0.1816      0.0908
         4         2  0.314250E-01      0.0783      0.0392


Temperature=   1000.0000
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
         1         4  0.000000E+00      0.3915      0.0979
         2         4  0.236027E-01      0.2977      0.0744
         3         2  0.967550E-02      0.1749      0.0875
         4         2  0.314250E-01      0.1359      0.0680


 Infinite Temperature Limit
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
         1         4  0.000000E+00      0.3333      0.0833
         2         4  0.236027E-01      0.3333      0.0833
         3         2  0.967550E-02      0.1667      0.0833
         4         2  0.314250E-01      0.1667      0.0833
