 Configuration with minimum energy:           21
 Configuration with maximum energy:            1

Temperature=      1.0000
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
         1         1  0.414778E+00      0.0000      0.0000
         2         2  0.360608E+00      0.0000      0.0000
         3         2  0.289518E+00      0.0000      0.0000
         4         1  0.359086E+00      0.0000      0.0000
         5         4  0.285377E+00      0.0000      0.0000
         6         4  0.235376E+00      0.0000      0.0000
         7         4  0.388939E+00      0.0000      0.0000
         8         4  0.210712E+00      0.0000      0.0000
         9         2  0.203340E+00      0.0000      0.0000
        10         2  0.261931E+00      0.0000      0.0000
        11         2  0.373480E+00      0.0000      0.0000
        12         4  0.193284E+00      0.0000      0.0000
        13         4  0.386889E+00      0.0000      0.0000
        14         4  0.118593E+00      0.0000      0.0000
        15         4  0.182717E+00      0.0000      0.0000
        16         4  0.109933E-01      0.0000      0.0000
        17         4  0.274880E+00      0.0000      0.0000
        18         4  0.240403E+00      0.0000      0.0000
        19         4  0.238976E+00      0.0000      0.0000
        20         2  0.201927E+00      0.0000      0.0000
        21         2  0.000000E+00      1.0000      0.5000
        22         2  0.250050E+00      0.0000      0.0000


Temperature=    300.0000
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
         1         1  0.414778E+00      0.0000      0.0000
         2         2  0.360608E+00      0.0000      0.0000
         3         2  0.289518E+00      0.0000      0.0000
         4         1  0.359086E+00      0.0000      0.0000
         5         4  0.285377E+00      0.0000      0.0000
         6         4  0.235376E+00      0.0001      0.0000
         7         4  0.388939E+00      0.0000      0.0000
         8         4  0.210712E+00      0.0002      0.0001
         9         2  0.203340E+00      0.0002      0.0001
        10         2  0.261931E+00      0.0000      0.0000
        11         2  0.373480E+00      0.0000      0.0000
        12         4  0.193284E+00      0.0005      0.0001
        13         4  0.386889E+00      0.0000      0.0000
        14         4  0.118593E+00      0.0087      0.0022
        15         4  0.182717E+00      0.0007      0.0002
        16         4  0.109933E-01      0.5604      0.1401
        17         4  0.274880E+00      0.0000      0.0000
        18         4  0.240403E+00      0.0001      0.0000
        19         4  0.238976E+00      0.0001      0.0000
        20         2  0.201927E+00      0.0002      0.0001
        21         2  0.000000E+00      0.4287      0.2144
        22         2  0.250050E+00      0.0000      0.0000


Temperature=   1000.0000
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
         1         1  0.414778E+00      0.0008      0.0008
         2         2  0.360608E+00      0.0031      0.0016
         3         2  0.289518E+00      0.0072      0.0036
         4         1  0.359086E+00      0.0016      0.0016
         5         4  0.285377E+00      0.0151      0.0038
         6         4  0.235376E+00      0.0269      0.0067
         7         4  0.388939E+00      0.0045      0.0011
         8         4  0.210712E+00      0.0359      0.0090
         9         2  0.203340E+00      0.0195      0.0098
        10         2  0.261931E+00      0.0099      0.0049
        11         2  0.373480E+00      0.0027      0.0014
        12         4  0.193284E+00      0.0439      0.0110
        13         4  0.386889E+00      0.0046      0.0012
        14         4  0.118593E+00      0.1044      0.0261
        15         4  0.182717E+00      0.0496      0.0124
        16         4  0.109933E-01      0.3640      0.0910
        17         4  0.274880E+00      0.0170      0.0043
        18         4  0.240403E+00      0.0254      0.0064
        19         4  0.238976E+00      0.0258      0.0065
        20         2  0.201927E+00      0.0198      0.0099
        21         2  0.000000E+00      0.2067      0.1034
        22         2  0.250050E+00      0.0114      0.0057


 Infinite Temperature Limit
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
         1         1  0.414778E+00      0.0152      0.0152
         2         2  0.360608E+00      0.0303      0.0152
         3         2  0.289518E+00      0.0303      0.0152
         4         1  0.359086E+00      0.0152      0.0152
         5         4  0.285377E+00      0.0606      0.0152
         6         4  0.235376E+00      0.0606      0.0152
         7         4  0.388939E+00      0.0606      0.0152
         8         4  0.210712E+00      0.0606      0.0152
         9         2  0.203340E+00      0.0303      0.0152
        10         2  0.261931E+00      0.0303      0.0152
        11         2  0.373480E+00      0.0303      0.0152
        12         4  0.193284E+00      0.0606      0.0152
        13         4  0.386889E+00      0.0606      0.0152
        14         4  0.118593E+00      0.0606      0.0152
        15         4  0.182717E+00      0.0606      0.0152
        16         4  0.109933E-01      0.0606      0.0152
        17         4  0.274880E+00      0.0606      0.0152
        18         4  0.240403E+00      0.0606      0.0152
        19         4  0.238976E+00      0.0606      0.0152
        20         2  0.201927E+00      0.0303      0.0152
        21         2  0.000000E+00      0.0303      0.0152
        22         2  0.250050E+00      0.0303      0.0152
