 Configuration with minimum energy:           33
 Configuration with maximum energy:           50

Temperature=      1.0000
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
         1         4  0.241706E+00      0.0000      0.0000
         2         4  0.270455E+00      0.0000      0.0000
         3         4  0.195977E+00      0.0000      0.0000
         4         4  0.113251E+00      0.0000      0.0000
         5         4  0.217072E+00      0.0000      0.0000
         6         4  0.341412E-01      0.0000      0.0000
         7         4  0.151889E+00      0.0000      0.0000
         8         4  0.154012E-01      0.0000      0.0000
         9         4  0.119521E+00      0.0000      0.0000
        10         4  0.299576E+00      0.0000      0.0000
        11         4  0.398469E+00      0.0000      0.0000
        12         2  0.381530E+00      0.0000      0.0000
        13         2  0.204145E+00      0.0000      0.0000
        14         2  0.576878E+00      0.0000      0.0000
        15         2  0.232788E+00      0.0000      0.0000
        16         4  0.271166E+00      0.0000      0.0000
        17         4  0.893247E-01      0.0000      0.0000
        18         4  0.359908E+00      0.0000      0.0000
        19         4  0.151501E+00      0.0000      0.0000
        20         4  0.253433E+00      0.0000      0.0000
        21         4  0.251959E+00      0.0000      0.0000
        22         4  0.100395E+00      0.0000      0.0000
        23         4  0.513472E+00      0.0000      0.0000
        24         4  0.249353E+00      0.0000      0.0000
        25         4  0.395566E+00      0.0000      0.0000
        26         4  0.167234E+00      0.0000      0.0000
        27         4  0.356177E+00      0.0000      0.0000
        28         4  0.131277E+00      0.0000      0.0000
        29         4  0.186943E+00      0.0000      0.0000
        30         4  0.404609E+00      0.0000      0.0000
        31         4  0.468226E-01      0.0000      0.0000
        32         4  0.294263E+00      0.0000      0.0000
        33         4  0.000000E+00      1.0000      0.2500
        34         4  0.194367E+00      0.0000      0.0000
        35         4  0.250267E+00      0.0000      0.0000
        36         4  0.199627E+00      0.0000      0.0000
        37         4  0.803208E-01      0.0000      0.0000
        38         4  0.157011E+00      0.0000      0.0000
        39         4  0.420926E+00      0.0000      0.0000
        40         4  0.183227E-01      0.0000      0.0000
        41         4  0.168158E+00      0.0000      0.0000
        42         4  0.133918E+00      0.0000      0.0000
        43         4  0.267227E+00      0.0000      0.0000
        44         4  0.390049E+00      0.0000      0.0000
        45         4  0.306011E+00      0.0000      0.0000
