#N FracGe E_exp_total E_min_total E_exp_ladoSi E_min_ladoSi E_exp_ladoGe E_min_ladoGe E_exp_combinada Delta_exp_total Delta_min_total Delta_exp_ladoSi Delta_min_ladoSi Delta_exp_ladoGe Delta_min_ladoGe Delta_exp_combinada Ratio_aceptacion
0 0.0000 -1544.411093 -1544.411093 -1544.411093 -1544.411093 -1419.871637 -1419.871637 -1518.070148 9.476726 9.476726 9.476726 9.476726 1010.829290 1010.829290 221.269627 1.000000
1 0.0833 -1531.613406 -1531.614399 -1537.595369 -1537.607931 -1465.945166 -1465.945166 -1537.595369 56.197693 56.189710 8.100054 7.999042 584.199521 584.199521 8.100054 1.000000
2 0.1667 -1524.599173 -1524.613128 -1530.803905 -1530.860036 -1493.951797 -1493.951797 -1530.803905 56.417115 56.304914 6.528311 6.076996 302.835634 302.835634 6.528311 1.000000
3 0.2500 -1519.552106 -1519.571023 -1523.989946 -1524.058245 -1506.623089 -1506.625961 -1523.989946 40.819655 40.667551 5.137451 4.588293 144.774691 144.751601 5.137451 1.000000
4 0.3333 -1515.116203 -1515.120622 -1517.129898 -1517.253994 -1511.387415 -1511.387417 -1517.129898 20.308159 20.272625 4.117156 3.119367 50.289269 50.289257 4.117156 1.000000
5 0.4167 -1509.347147 -1509.359062 -1510.268126 -1510.377603 -1508.630234 -1508.630250 -1510.268126 10.515808 10.420008 3.110726 2.230482 16.280108 16.279977 3.110726 1.000000
6 0.5000 -1502.735773 -1502.803902 -1503.682730 -1503.736452 -1502.771452 -1502.807225 -1503.682730 7.496068 6.948285 -0.117881 -0.549836 7.209192 6.921562 -0.117881 1.000000
7 0.5833 -1496.102849 -1496.153912 -1497.084543 -1497.117648 -1495.984025 -1496.058516 -1495.984025 4.649604 4.239029 -3.243657 -3.509829 5.604998 5.006059 5.604998 1.000000
8 0.6667 -1489.193148 -1489.245239 -1490.341891 -1490.344588 -1488.782441 -1488.898333 -1488.782441 4.028546 3.609708 -5.207864 -5.229549 7.330811 6.398990 7.330811 1.000000
9 0.7500 -1481.832517 -1481.870845 -1482.737471 -1482.750636 -1481.546562 -1481.641429 -1481.546562 7.033166 6.724987 -0.243072 -0.348918 9.332372 8.569595 9.332372 1.000000
10 0.8333 -1474.151670 -1474.206027 -1474.355579 -1474.407595 -1474.194625 -1474.257478 -1474.194625 12.612463 12.175411 10.972945 10.554715 12.267088 11.761717 12.267088 1.000000
11 0.9167 -1466.710210 -1466.728250 -1465.865707 -1465.865903 -1466.828665 -1466.856397 -1466.828665 16.266981 16.121929 23.057159 23.055590 15.314553 15.091573 15.314553 1.000000
12 1.0000 -1459.382214 -1459.382214 -1456.035051 -1456.035051 -1459.382214 -1459.382214 -1459.382214 19.009201 19.009201 45.921884 45.921884 19.009201 19.009201 19.009201 1.000000
