#step;attempt;energy_eV;energy_low_eV;energy_high_eV
1;0;  -2983.1532815800;  -2980.8680874600;  -2983.1532815800
2;1;  -2983.4089431100;  -2981.3931844900;  -2983.4089431100
3;2;  -2983.5360209700;  -2979.7462893500;  -2983.5360209700
4;4;  -2983.8088202200;  -2981.1084297100;  -2983.8088202200
5;6;  -2983.8646839800;  -2981.1556408300;  -2983.8646839800
6;7;  -2984.1318003000;  -2981.3679662200;  -2984.1318003000
7;14;  -2984.2640135300;  -2980.7630944800;  -2984.2640135300
8;15;  -2984.5630489700;  -2980.3050205400;  -2984.5630489700
9;16;  -2984.5935594100;  -2980.2002487400;  -2984.5935594100
10;18;  -2984.7031524900;  -2979.3672181600;  -2984.7031524900
11;26;  -2984.6977185100;  -2979.5515687700;  -2984.6977185100
12;29;  -2984.7401885300;  -2979.4800505500;  -2984.7401885300
13;42;  -2984.7387284500;  -2979.3211983500;  -2984.7387284500
14;45;  -2984.9928393600;  -2979.7094175200;  -2984.9928393600
15;53;  -2984.9620154600;  -2980.6720400300;  -2984.9620154600
16;59;  -2985.3201636000;  -2980.9327163100;  -2985.3201636000
17;96;  -2985.3201636000;  -2980.9327163100;  -2985.3201636000
18;129;  -2985.3201636000;  -2980.9327163100;  -2985.3201636000
19;144;  -2985.3201636000;  -2980.9327163100;  -2985.3201636000
20;153;  -2985.3201636000;  -2980.9327163100;  -2985.3201636000
21;179;  -2985.3201636000;  -2980.9327163100;  -2985.3201636000
22;213;  -2985.3201636000;  -2980.9327163100;  -2985.3201636000
23;233;  -2985.3201636000;  -2980.9327163100;  -2985.3201636000
24;235;  -2985.3201636000;  -2980.9327163100;  -2985.3201636000
25;238;  -2985.3201636000;  -2980.9327163100;  -2985.3201636000
26;254;  -2985.3201636000;  -2980.9327163100;  -2985.3201636000
27;302;  -2985.3201636000;  -2980.9327163100;  -2985.3201636000
28;323;  -2985.3201636000;  -2980.9327163100;  -2985.3201636000
29;359;  -2985.3201636000;  -2980.9327163100;  -2985.3201636000
30;498;  -2985.0550279700;  -2981.6843591500;  -2985.0550279700
31;499;  -2985.3201636000;  -2980.9327163100;  -2985.3201636000
32;502;  -2985.3201636000;  -2980.9327163100;  -2985.3201636000
33;541;  -2985.0550279700;  -2981.6843591500;  -2985.0550279700
34;543;  -2985.0435416800;  -2980.6259073100;  -2985.0435416800
35;544;  -2985.1583349500;  -2980.1840259800;  -2985.1583349500
36;560;  -2985.3201636000;  -2980.9327163100;  -2985.3201636000
37;660;  -2985.3201636000;  -2980.9327163100;  -2985.3201636000
38;744;  -2985.1583349500;  -2980.1840259800;  -2985.1583349500
39;762;  -2984.9310118100;  -2979.8339597000;  -2984.9310118100
40;763;  -2984.9589310700;  -2979.9952662700;  -2984.9589310700
41;764;  -2984.9589310700;  -2980.1138892500;  -2984.9589310700
42;770;  -2985.0229083100;  -2980.2140693300;  -2985.0229083100
43;773;  -2984.8826954500;  -2981.1677449200;  -2984.8826954500
44;777;  -2985.1583349500;  -2980.1840259800;  -2985.1583349500
45;782;  -2985.0435416800;  -2980.6259073100;  -2985.0435416800
46;786;  -2985.0166122700;  -2981.1637043900;  -2985.0166122700
47;788;  -2985.0147760100;  -2981.0266892700;  -2985.0147760100
48;791;  -2985.0582466500;  -2980.3723852100;  -2985.0582466500
49;794;  -2985.1132024000;  -2979.8066953600;  -2985.1132024000
50;795;  -2985.1132024000;  -2979.8066953600;  -2985.1132024000
51;796;  -2984.7407662900;  -2980.1569087000;  -2984.7407662900
52;798;  -2984.8440732700;  -2978.7691886900;  -2984.8440732700
53;800;  -2985.1132024000;  -2979.8066953600;  -2985.1132024000
54;804;  -2985.1705628400;  -2980.4296175100;  -2985.1705628400
55;891;  -2985.0977212300;  -2980.2662666100;  -2985.0977212300
56;904;  -2985.0542505900;  -2981.1121831700;  -2985.0542505900
57;920;  -2984.9477901800;  -2981.0490770001;  -2984.9477901800
58;925;  -2984.9271345800;  -2980.4908788501;  -2984.9271345800
59;935;  -2985.0341049500;  -2980.8228553101;  -2985.0341049500
60;943;  -2984.9319653500;  -2980.8690045401;  -2984.9319653500
61;946;  -2984.9258976700;  -2981.2176986701;  -2984.9258976700
62;953;  -2984.9319653500;  -2980.8690045401;  -2984.9319653500
63;959;  -2984.9319653500;  -2980.8690045401;  -2984.9319653500
64;971;  -2985.0604658400;  -2980.8164150200;  -2985.0604658400
65;987;  -2984.8484196400;  -2980.7267458700;  -2984.8484196400
66;991;  -2984.9147366400;  -2981.2822809900;  -2984.9147366400
67;1008;  -2984.9028876400;  -2980.7178555800;  -2984.9028876400
68;1019;  -2984.9147366400;  -2981.2822809900;  -2984.9147366400
69;1035;  -2984.9028876400;  -2980.7178555800;  -2984.9028876400
70;1041;  -2984.9405433100;  -2981.3007130501;  -2984.9405433100
71;1042;  -2985.0785963600;  -2980.7751109100;  -2985.0785963600
72;1062;  -2985.3201636000;  -2980.9327163100;  -2985.3201636000
73;1069;  -2985.3201636000;  -2980.9327163100;  -2985.3201636000
74;1089;  -2985.3201636000;  -2980.9327163100;  -2985.3201636000
75;1124;  -2985.3201636000;  -2980.9327163100;  -2985.3201636000
76;1156;  -2985.3201636000;  -2980.9327163100;  -2985.3201636000
77;1191;  -2985.0550279700;  -2981.6843591500;  -2985.0550279700
78;1193;  -2985.0550279700;  -2981.6843591500;  -2985.0550279700
79;1196;  -2985.0550279700;  -2981.6843591500;  -2985.0550279700
80;1206;  -2985.1583349500;  -2980.1840259800;  -2985.1583349500
81;1217;  -2985.1583349500;  -2980.1840259800;  -2985.1583349500
82;1221;  -2985.1583349500;  -2980.1840259800;  -2985.1583349500
83;1234;  -2985.1583349500;  -2980.1840259800;  -2985.1583349500
84;1241;  -2985.0435416800;  -2980.6259073100;  -2985.0435416800
85;1246;  -2985.3201636000;  -2980.9327163100;  -2985.3201636000
86;1345;  -2985.1583349500;  -2980.1840259800;  -2985.1583349500
87;1348;  -2985.0550279700;  -2981.6843591500;  -2985.0550279700
88;1350;  -2985.0550279700;  -2981.6843591500;  -2985.0550279700
89;1352;  -2985.3201636000;  -2980.9327163100;  -2985.3201636000
90;1448;  -2985.1583349500;  -2980.1840259800;  -2985.1583349500
91;1450;  -2985.1583349500;  -2980.1840259800;  -2985.1583349500
92;1466;  -2985.3201636000;  -2980.9327163100;  -2985.3201636000
93;1470;  -2985.3201636000;  -2980.9327163100;  -2985.3201636000
94;1489;  -2985.3201636000;  -2980.9327163100;  -2985.3201636000
95;1515;  -2985.3201636000;  -2980.9327163100;  -2985.3201636000
96;1563;  -2985.3201636000;  -2980.9327163100;  -2985.3201636000
97;1580;  -2985.3201636000;  -2980.9327163100;  -2985.3201636000
98;1623;  -2985.1583349500;  -2980.1840259800;  -2985.1583349500
99;1689;  -2985.3201636000;  -2980.9327163100;  -2985.3201636000
100;1697;  -2985.0229083100;  -2980.2140693300;  -2985.0229083100
101;1706;  -2984.9928393600;  -2979.7094175200;  -2984.9928393600
102;1707;  -2985.0422625500;  -2980.6751228800;  -2985.0422625500
103;1708;  -2985.0506068900;  -2980.9195006900;  -2985.0506068900
