#N;FracGe;E_exp_total;E_min_total;Var_total;E_exp_ladoSi;E_min_ladoSi;E_exp_ladoGe;E_min_ladoGe;E_exp_combinada;Delta_exp_total;Delta_min_total;Delta_exp_ladoSi;Delta_min_ladoSi;Delta_exp_ladoGe;Delta_min_ladoGe;Delta_exp_combinada;Ratio_aceptacion
0;0.0000;-3088.963213;-3088.963213;0.000000;-3088.652652;-3088.652652;-4014.732229;-4014.732229;-3284.524803;8.909764;8.909764;10.158288;10.158288;-3712.887358;-3712.887358;-777.291274;1.000000
1;0.0417;-3082.394161;-3082.432382;0.002777;-3081.881650;-3081.934394;-3881.614479;-3881.614479;-3081.881650;7.229750;7.076094;9.290157;9.078116;-3205.813492;-3205.813492;9.290157;1.000000
17;0.7083;-2984.915700;-2985.055193;0.031186;-2971.604780;-2971.628720;-2985.660843;-2985.759780;-2985.660843;-50.310175;-50.870965;3.202684;3.106438;-53.305812;-53.703561;-53.305812;0.111669
16;0.6667;-3006.404205;-3006.404205;0.000000;-2978.894105;-2979.233762;-3008.312807;-3008.312807;-3008.312807;-108.609675;-108.609675;1.987038;0.621542;-116.282680;-116.282680;-116.282680;0.095584
2;0.0833;-3075.931816;-3076.026069;0.006986;-3075.092744;-3075.218721;-3780.376793;-3780.377030;-3075.092744;5.120752;4.741833;8.494006;7.987550;-2826.904563;-2826.905515;8.494006;1.000000
15;0.6250;-3023.520016;-3023.543331;0.005365;-2985.948947;-2986.197823;-3028.633995;-3028.655102;-3028.633995;-149.329975;-149.423707;1.714068;0.713533;-169.889306;-169.974161;-169.889306;0.093406
14;0.5833;-3042.775240;-3042.828844;0.011548;-2993.332604;-2993.690629;-3055.972134;-3056.013858;-3055.972134;-198.651190;-198.866692;0.119189;-1.320151;-251.705639;-251.873380;-251.705639;0.106135
21;0.8750;-2940.678422;-2940.880291;0.013167;-2937.715089;-2937.715090;-2940.705661;-2940.907811;-2940.705661;15.177265;14.365704;27.090523;27.090516;15.067759;14.255071;15.067759;1.000000
23;0.9583;-2926.053884;-2926.074386;0.000524;-2913.706695;-2913.706695;-2926.063670;-2926.082467;-2926.063670;17.793032;17.710609;67.431475;67.431473;17.753692;17.678122;17.753692;1.000000
24;1.0000;-2918.738804;-2918.738804;0.000000;-2900.820069;-2900.820069;-2918.744816;-2918.744816;-2918.744816;19.112215;19.112215;91.149514;91.149514;19.088049;19.088049;19.088049;1.000000
22;0.9167;-2933.367890;-2933.490287;0.004973;-2926.053028;-2926.125000;-2933.384201;-2933.506499;-2933.384201;16.478164;15.986102;45.885534;45.596191;16.412591;15.920925;16.412591;1.000000
13;0.5417;-3057.766555;-3057.766555;0.000000;-3000.397095;-3000.719446;-3087.442443;-3087.442443;-3087.442443;-230.830546;-230.830546;-0.192573;-1.488496;-350.134208;-350.134208;-350.134208;0.126936
20;0.8333;-2948.295066;-2949.094567;0.188766;-2948.902077;-2948.902081;-2948.334838;-2949.151611;-2948.334838;12.645725;9.431555;10.205406;10.205391;12.485831;9.202223;12.485831;1.000000
12;0.5000;-3069.533099;-3069.533099;0.000000;-3006.871395;-3007.216857;-3132.303399;-3132.303399;-3006.871395;-250.045607;-250.045607;1.868365;0.479531;-502.396159;-502.396159;1.868365;0.112423
11;0.4583;-3063.742799;-3063.751590;0.000243;-3013.862866;-3014.209314;-3162.022485;-3162.029403;-3013.862866;-198.678251;-198.713591;1.850159;0.457363;-593.784424;-593.812235;1.850159;0.120135
19;0.7917;-2957.905335;-2958.147524;0.102977;-2956.587863;-2956.628714;-2957.989904;-2958.230976;-2957.989904;2.099370;1.125718;7.395899;7.231673;1.759385;0.790221;1.759385;1.000000
10;0.4167;-3058.420524;-3058.474307;0.033778;-3020.734321;-3021.022265;-3210.684389;-3210.684389;-3020.734321;-149.192459;-149.408679;2.314448;1.156847;-761.327028;-761.327028;2.314448;0.097523
9;0.3750;-3053.009908;-3053.352100;0.057984;-3027.551160;-3027.879245;-3257.853718;-3257.853718;-3027.551160;-99.351522;-100.727209;2.998302;1.679330;-922.869149;-922.869149;2.998302;0.127992
3;0.1250;-3069.672454;-3069.867902;0.015873;-3068.293423;-3068.454311;-3685.696159;-3685.696159;-3068.293423;2.195714;1.409971;7.739726;7.092919;-2474.356443;-2474.356443;7.739726;1.000000
8;0.3333;-3051.574217;-3051.811084;0.119623;-3034.280641;-3034.568688;-3310.510927;-3310.513490;-3034.280641;-65.490662;-66.442920;4.033357;2.875344;-1106.473763;-1106.484067;4.033357;0.150580
7;0.2917;-3051.849273;-3052.111441;0.052097;-3041.188418;-3041.534779;-3375.133433;-3375.133433;-3041.188418;-38.507387;-39.561361;4.351621;2.959170;-1338.181532;-1338.181532;4.351621;0.169693
