#step;attempt;energy_eV;energy_low_eV;energy_high_eV
1;0;  -2979.0906263260;  -2983.3399395296;  -2978.5155443200
2;4;  -2979.8168373844;  -2980.3463816596;  -2979.7451713600
3;6;  -2982.1532755372;  -2973.9096418296;  -2983.2689300400
4;7;  -2984.4072212589;  -2977.3176087196;  -2985.3666959800
5;8;  -2985.4745540226;  -2978.4276982097;  -2986.4282422500
6;10;  -2987.8210385881;  -2974.8433841297;  -2989.5773731300
7;12;  -2990.9862609601;  -2968.8099914898;  -2993.9874926700
8;13;  -2996.3326669208;  -2965.4174835399;  -3000.5165820200
9;19;  -2996.1853477084;  -2965.7914373898;  -3000.2987161700
10;23;  -2996.3301617534;  -2966.0990462698;  -3000.4214983300
11;24;  -2997.7293898376;  -2970.2196098799;  -3001.4524337000
12;42;  -2997.7981308748;  -2969.0237768999;  -3001.6923162200
13;44;  -2998.3864377085;  -2968.7920090000;  -3002.3916081000
14;46;  -3001.0035622242;  -2973.9985861500;  -3004.6582883100
15;51;  -3001.3441034209;  -2973.7261424601;  -3005.0817879900
16;53;  -3001.3441034209;  -2973.7261424601;  -3005.0817879900
17;64;  -3004.8063045214;  -2979.1930496801;  -3008.2726816200
18;65;  -3004.8063045214;  -2979.1930496801;  -3008.2726816200
19;78;  -3004.8063045214;  -2979.1930496801;  -3008.2726816200
20;99;  -3004.8063045214;  -2979.1930496801;  -3008.2726816200
21;109;  -3004.8063045214;  -2979.1930496801;  -3008.2726816200
22;120;  -2981.5151615063;  -2967.9043416996;  -2983.3571856600
23;123;  -2981.9056750791;  -2974.9962273096;  -2982.8407671500
24;127;  -2983.9123005613;  -2977.2424068197;  -2984.8149725200
25;137;  -2989.0131870592;  -2974.4206536598;  -2990.9880717000
26;138;  -2992.6134041517;  -2970.9726444898;  -2995.5421624900
27;142;  -2995.4988015122;  -2974.8642171599;  -2998.2913888300
28;143;  -2995.4449369695;  -2975.1686394299;  -2998.1890354400
29;150;  -2997.4626813766;  -2980.3613041300;  -2999.7771011100
30;159;  -3001.3605721618;  -2973.3926119400;  -3005.1456239800
31;163;  -3001.3775144766;  -2973.0250471700;  -3005.2146036700
32;187;  -3004.8063045214;  -2979.1930496801;  -3008.2726816200
33;191;  -2993.5683817239;  -2962.1227695798;  -2997.8240825500
34;194;  -2995.1293231416;  -2962.7149125499;  -2999.5161365800
35;205;  -2997.1205798722;  -2964.9127482299;  -3001.4794358900
36;206;  -2997.1958016032;  -2964.8661293099;  -3001.5711469600
37;209;  -2997.3824976923;  -2964.7886587299;  -3001.7935941200
38;211;  -2997.6543578939;  -2965.9628521499;  -3001.9433368000
39;212;  -3001.3775144766;  -2973.0250471700;  -3005.2146036700
40;213;  -3001.3605721618;  -2973.3926119400;  -3005.1456239800
41;214;  -3002.6836142279;  -2975.8221813100;  -3006.3189138600
42;265;  -2994.0193065878;  -2960.5770329698;  -2998.5452261600
43;269;  -2995.2013693361;  -2962.0513048699;  -2999.6877427000
44;271;  -2995.4288646522;  -2965.8842161898;  -2999.4272980200
45;273;  -2995.8928243115;  -2966.7834560499;  -2999.8323489100
46;285;  -2998.1316558641;  -2967.5307352700;  -3002.2730401200
47;289;  -2998.9718353530;  -2965.9238532600;  -3003.4443933700
48;292;  -3001.3062148577;  -2971.7816825500;  -3005.3019258000
49;311;  -3001.4554505537;  -2972.0041222601;  -3005.4412544100
50;319;  -3002.6836142279;  -2975.8221813100;  -3006.3189138600
51;331;  -3004.8063045214;  -2979.1930496801;  -3008.2726816200
52;336;  -3004.8063045214;  -2979.1930496801;  -3008.2726816200
53;365;  -3004.8063045214;  -2979.1930496801;  -3008.2726816200
54;373;  -3004.8063045214;  -2979.1930496801;  -3008.2726816200
55;384;  -3004.8063045214;  -2979.1930496801;  -3008.2726816200
56;429;  -3004.8063045214;  -2979.1930496801;  -3008.2726816200
57;438;  -3004.8063045214;  -2979.1930496801;  -3008.2726816200
58;505;  -3004.8063045214;  -2979.1930496801;  -3008.2726816200
59;550;  -3004.8063045214;  -2979.1930496801;  -3008.2726816200
60;574;  -3004.8063045214;  -2979.1930496801;  -3008.2726816200
61;582;  -2985.2872456972;  -2977.2009798197;  -2986.3816027800
62;586;  -2985.9689656791;  -2974.6157909998;  -2987.5054507900
63;587;  -2988.8873989857;  -2971.8092739098;  -2991.1986718800
64;588;  -2990.9017027661;  -2961.8057617099;  -2994.8394101900
65;590;  -2990.7910739094;  -2962.3365913198;  -2994.6419693700
66;594;  -2992.8977894415;  -2956.9730045498;  -2997.7596803800
67;595;  -2995.5873200233;  -2963.6742692398;  -2999.9062817900
68;600;  -2998.0207455642;  -2968.7865648599;  -3001.9771616900
69;604;  -2998.2442530190;  -2967.6844191599;  -3002.3800767900
70;606;  -2998.4859763966;  -2969.1512231199;  -3002.4560035400
71;608;  -2999.3375268259;  -2970.9767778600;  -3003.1757368200
72;613;  -3000.3849690191;  -2970.5962430900;  -3004.4164346800
73;630;  -3001.3605721618;  -2973.3926119400;  -3005.1456239800
74;633;  -3001.2085425894;  -2973.8935147400;  -3004.9052296200
75;643;  -3001.5034343872;  -2973.5997148800;  -3005.2797921700
76;660;  -3001.3721346982;  -2973.6013401800;  -3005.1305030400
77;706;  -3004.8063045214;  -2979.1930496801;  -3008.2726816200
78;719;  -3004.8063045214;  -2979.1930496801;  -3008.2726816200
79;733;  -3004.8063045214;  -2979.1930496801;  -3008.2726816200
80;770;  -3004.8063045214;  -2979.1930496801;  -3008.2726816200
81;857;  -3004.8063045214;  -2979.1930496801;  -3008.2726816200
82;858;  -3004.8063045214;  -2979.1930496801;  -3008.2726816200
83;880;  -3004.8063045214;  -2979.1930496801;  -3008.2726816200
84;882;  -3004.8063045214;  -2979.1930496801;  -3008.2726816200
85;901;  -3004.8063045214;  -2979.1930496801;  -3008.2726816200
86;902;  -3004.8063045214;  -2979.1930496801;  -3008.2726816200
87;908;  -3004.8063045214;  -2979.1930496801;  -3008.2726816200
88;930;  -3004.8063045214;  -2979.1930496801;  -3008.2726816200
89;939;  -2975.4364668330;  -2985.5667203795;  -2974.0654861000
90;941;  -2978.0996326920;  -2982.4517394596;  -2977.5106390900
91;944;  -2978.9953074709;  -2983.7880299996;  -2978.3466830100
92;945;  -2979.6428517769;  -2984.7970935996;  -2978.9453010000
93;946;  -2981.2746758341;  -2975.3035144597;  -2982.0827846500
94;947;  -2981.7106967449;  -2975.7565975197;  -2982.5164964500
95;948;  -2983.7861173131;  -2979.1089001697;  -2984.4191098200
96;950;  -2984.1467744344;  -2973.5196059596;  -2985.5850052900
97;951;  -2986.8858389908;  -2967.9249733698;  -2989.4519131100
98;953;  -2988.3241118966;  -2973.3607595098;  -2990.3491814300
99;956;  -2994.0557638994;  -2970.7232886198;  -2997.2134710500
100;961;  -2994.5477003360;  -2972.1047198999;  -2997.5850274500
