 Configuration with minimum energy:            7
 Configuration with maximum energy:           14

Temperature=      1.0000
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
         1         4  0.169733E+00      0.0000      0.0000
         2         4  0.707998E-01      0.0000      0.0000
         3         4  0.102222E+00      0.0000      0.0000
         4         4  0.477449E-01      0.0000      0.0000
         5         4  0.123269E+00      0.0000      0.0000
         6         4  0.154588E+00      0.0000      0.0000
         7         4  0.000000E+00      1.0000      0.2500
         8         8  0.972601E-01      0.0000      0.0000
         9         8  0.690811E-01      0.0000      0.0000
        10         8  0.905903E-01      0.0000      0.0000
        11         8  0.105216E+00      0.0000      0.0000
        12         8  0.632843E-01      0.0000      0.0000
        13         8  0.100620E+00      0.0000      0.0000
        14         8  0.265285E+00      0.0000      0.0000
        15         8  0.116507E+00      0.0000      0.0000
        16         8  0.257825E+00      0.0000      0.0000
        17         8  0.757487E-01      0.0000      0.0000
        18         8  0.105903E+00      0.0000      0.0000
        19         8  0.125144E+00      0.0000      0.0000
        20         8  0.557807E-01      0.0000      0.0000
        21         8  0.113113E+00      0.0000      0.0000
        22         8  0.153475E+00      0.0000      0.0000
        23         8  0.357464E-01      0.0000      0.0000
        24         4  0.186800E+00      0.0000      0.0000
        25         4  0.405020E-01      0.0000      0.0000
        26         4  0.246133E+00      0.0000      0.0000
        27         4  0.769062E-01      0.0000      0.0000
        28         4  0.540878E-01      0.0000      0.0000
        29         4  0.789034E-01      0.0000      0.0000
        30         4  0.956369E-01      0.0000      0.0000
        31         8  0.221473E+00      0.0000      0.0000
        32         8  0.164781E+00      0.0000      0.0000
        33         8  0.993367E-01      0.0000      0.0000
        34         8  0.988268E-01      0.0000      0.0000
        35         8  0.824341E-01      0.0000      0.0000
        36         8  0.116401E+00      0.0000      0.0000
        37         8  0.145081E+00      0.0000      0.0000
        38         8  0.907767E-01      0.0000      0.0000
        39         4  0.148510E+00      0.0000      0.0000
        40         4  0.953659E-01      0.0000      0.0000
        41         4  0.248815E+00      0.0000      0.0000
        42         4  0.764480E-01      0.0000      0.0000
        43         4  0.113957E+00      0.0000      0.0000
        44         4  0.210694E+00      0.0000      0.0000
        45         4  0.579478E-01      0.0000      0.0000


Temperature=    300.0000
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
         1         4  0.169733E+00      0.0004      0.0001
         2         4  0.707998E-01      0.0179      0.0045
         3         4  0.102222E+00      0.0053      0.0013
         4         4  0.477449E-01      0.0438      0.0109
         5         4  0.123269E+00      0.0024      0.0006
         6         4  0.154588E+00      0.0007      0.0002
         7         4  0.000000E+00      0.2774      0.0693
         8         8  0.972601E-01      0.0129      0.0016
         9         8  0.690811E-01      0.0383      0.0048
        10         8  0.905903E-01      0.0167      0.0021
        11         8  0.105216E+00      0.0095      0.0012
        12         8  0.632843E-01      0.0480      0.0060
        13         8  0.100620E+00      0.0113      0.0014
        14         8  0.265285E+00      0.0000      0.0000
        15         8  0.116507E+00      0.0061      0.0008
        16         8  0.257825E+00      0.0000      0.0000
        17         8  0.757487E-01      0.0296      0.0037
        18         8  0.105903E+00      0.0092      0.0012
        19         8  0.125144E+00      0.0044      0.0005
        20         8  0.557807E-01      0.0641      0.0080
        21         8  0.113113E+00      0.0070      0.0009
        22         8  0.153475E+00      0.0015      0.0002
        23         8  0.357464E-01      0.1392      0.0174
        24         4  0.186800E+00      0.0002      0.0001
        25         4  0.405020E-01      0.0579      0.0145
        26         4  0.246133E+00      0.0000      0.0000
        27         4  0.769062E-01      0.0142      0.0035
        28         4  0.540878E-01      0.0342      0.0086
        29         4  0.789034E-01      0.0131      0.0033
        30         4  0.956369E-01      0.0069      0.0017
        31         8  0.221473E+00      0.0001      0.0000
        32         8  0.164781E+00      0.0009      0.0001
        33         8  0.993367E-01      0.0119      0.0015
        34         8  0.988268E-01      0.0121      0.0015
        35         8  0.824341E-01      0.0229      0.0029
        36         8  0.116401E+00      0.0061      0.0008
        37         8  0.145081E+00      0.0020      0.0003
        38         8  0.907767E-01      0.0166      0.0021
        39         4  0.148510E+00      0.0009      0.0002
        40         4  0.953659E-01      0.0069      0.0017
        41         4  0.248815E+00      0.0000      0.0000
        42         4  0.764480E-01      0.0144      0.0036
        43         4  0.113957E+00      0.0034      0.0008
        44         4  0.210694E+00      0.0001      0.0000
        45         4  0.579478E-01      0.0295      0.0074


Temperature=   1000.0000
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
         1         4  0.169733E+00      0.0065      0.0016
         2         4  0.707998E-01      0.0205      0.0051
         3         4  0.102222E+00      0.0142      0.0036
         4         4  0.477449E-01      0.0267      0.0067
         5         4  0.123269E+00      0.0111      0.0028
         6         4  0.154588E+00      0.0077      0.0019
         7         4  0.000000E+00      0.0465      0.0116
         8         8  0.972601E-01      0.0301      0.0038
         9         8  0.690811E-01      0.0417      0.0052
        10         8  0.905903E-01      0.0325      0.0041
        11         8  0.105216E+00      0.0274      0.0034
        12         8  0.632843E-01      0.0446      0.0056
        13         8  0.100620E+00      0.0289      0.0036
        14         8  0.265285E+00      0.0043      0.0005
        15         8  0.116507E+00      0.0241      0.0030
        16         8  0.257825E+00      0.0047      0.0006
        17         8  0.757487E-01      0.0386      0.0048
        18         8  0.105903E+00      0.0272      0.0034
        19         8  0.125144E+00      0.0218      0.0027
        20         8  0.557807E-01      0.0487      0.0061
        21         8  0.113113E+00      0.0250      0.0031
        22         8  0.153475E+00      0.0157      0.0020
        23         8  0.357464E-01      0.0614      0.0077
        24         4  0.186800E+00      0.0053      0.0013
        25         4  0.405020E-01      0.0291      0.0073
        26         4  0.246133E+00      0.0027      0.0007
        27         4  0.769062E-01      0.0191      0.0048
        28         4  0.540878E-01      0.0248      0.0062
        29         4  0.789034E-01      0.0186      0.0047
        30         4  0.956369E-01      0.0153      0.0038
        31         8  0.221473E+00      0.0071      0.0009
        32         8  0.164781E+00      0.0137      0.0017
        33         8  0.993367E-01      0.0294      0.0037
        34         8  0.988268E-01      0.0296      0.0037
        35         8  0.824341E-01      0.0357      0.0045
