 Configuration with minimum energy:           38
 Configuration with maximum energy:          235

Temperature=      1.0000
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
         1         8  0.148417E+00      0.0000      0.0000
         2         8  0.481465E-01      0.0000      0.0000
         3         8  0.472006E-01      0.0000      0.0000
         4         8  0.162342E+00      0.0000      0.0000
         5         8  0.128722E+00      0.0000      0.0000
         6         8  0.556454E-02      0.0000      0.0000
         7         8  0.579530E-01      0.0000      0.0000
         8         8  0.253056E+00      0.0000      0.0000
         9         8  0.112235E+00      0.0000      0.0000
        10         8  0.232223E+00      0.0000      0.0000
        11         8  0.264140E+00      0.0000      0.0000
        12         8  0.917766E-01      0.0000      0.0000
        13         8  0.875877E-01      0.0000      0.0000
        14         8  0.166819E+00      0.0000      0.0000
        15         8  0.130035E+00      0.0000      0.0000
        16         8  0.107218E+00      0.0000      0.0000
        17         8  0.702847E-01      0.0000      0.0000
        18         8  0.119212E+00      0.0000      0.0000
        19         8  0.123159E+00      0.0000      0.0000
        20         8  0.893717E-01      0.0000      0.0000
        21         8  0.103239E+00      0.0000      0.0000
        22         8  0.938593E-01      0.0000      0.0000
        23         8  0.208721E+00      0.0000      0.0000
        24         8  0.146172E+00      0.0000      0.0000
        25         8  0.101888E+00      0.0000      0.0000
        26         8  0.813319E-01      0.0000      0.0000
        27         8  0.957418E-01      0.0000      0.0000
        28         8  0.233649E+00      0.0000      0.0000
        29         8  0.180861E+00      0.0000      0.0000
        30         8  0.124450E+00      0.0000      0.0000
        31         8  0.848924E-01      0.0000      0.0000
        32         8  0.560227E-01      0.0000      0.0000
        33         8  0.161967E+00      0.0000      0.0000
        34         8  0.352186E-01      0.0000      0.0000
        35         8  0.915132E-01      0.0000      0.0000
        36         8  0.262662E+00      0.0000      0.0000
        37         8  0.898053E-01      0.0000      0.0000
        38         8  0.000000E+00      1.0000      0.1250
        39         8  0.111096E+00      0.0000      0.0000
        40         8  0.115457E+00      0.0000      0.0000
        41         8  0.839309E-01      0.0000      0.0000
        42         8  0.730506E-01      0.0000      0.0000
        43         8  0.328646E-01      0.0000      0.0000
        44         8  0.277706E+00      0.0000      0.0000
        45         8  0.293817E+00      0.0000      0.0000
        46         8  0.225485E+00      0.0000      0.0000
        47         8  0.133049E+00      0.0000      0.0000
        48         8  0.166981E+00      0.0000      0.0000
        49         8  0.132991E+00      0.0000      0.0000
        50         8  0.159243E+00      0.0000      0.0000
        51         8  0.784003E-01      0.0000      0.0000
        52         8  0.739454E-01      0.0000      0.0000
        53         8  0.101015E+00      0.0000      0.0000
        54         8  0.124886E+00      0.0000      0.0000
        55         8  0.810349E-01      0.0000      0.0000
        56         8  0.205142E-01      0.0000      0.0000
        57         8  0.891694E-01      0.0000      0.0000
        58         8  0.406683E-01      0.0000      0.0000
        59         8  0.370322E-01      0.0000      0.0000
        60         8  0.154744E+00      0.0000      0.0000
        61         8  0.467497E-01      0.0000      0.0000
        62         8  0.149257E-01      0.0000      0.0000
        63         8  0.127478E+00      0.0000      0.0000
        64         8  0.108041E+00      0.0000      0.0000
        65         8  0.656355E-01      0.0000      0.0000
        66         8  0.177480E+00      0.0000      0.0000
        67         8  0.155752E+00      0.0000      0.0000
        68         8  0.216508E+00      0.0000      0.0000
        69         8  0.290559E-01      0.0000      0.0000
        70         8  0.728036E-01      0.0000      0.0000
        71         8  0.235446E+00      0.0000      0.0000
        72         8  0.223507E+00      0.0000      0.0000
        73         8  0.219840E+00      0.0000      0.0000
        74         8  0.386544E+00      0.0000      0.0000
        75         8  0.121803E+00      0.0000      0.0000
        76         8  0.153887E+00      0.0000      0.0000
        77         8  0.209846E+00      0.0000      0.0000
        78         8  0.881372E-01      0.0000      0.0000
        79         8  0.126943E+00      0.0000      0.0000
        80         8  0.124687E+00      0.0000      0.0000
        81         8  0.178429E+00      0.0000      0.0000
        82         8  0.710229E-01      0.0000      0.0000
        83         8  0.831817E-01      0.0000      0.0000
        84         8  0.156013E+00      0.0000      0.0000
        85         8  0.110262E+00      0.0000      0.0000
        86         8  0.151663E+00      0.0000      0.0000
        87         8  0.130879E+00      0.0000      0.0000
        88         8  0.146587E+00      0.0000      0.0000
        89         8  0.180156E+00      0.0000      0.0000
        90         8  0.123201E+00      0.0000      0.0000
        91         8  0.236422E+00      0.0000      0.0000
        92         8  0.205853E+00      0.0000      0.0000
        93         8  0.110802E+00      0.0000      0.0000
        94         8  0.771284E-01      0.0000      0.0000
        95         8  0.137554E+00      0.0000      0.0000
        96         8  0.181227E+00      0.0000      0.0000
        97         8  0.844047E-01      0.0000      0.0000
        98         8  0.158353E+00      0.0000      0.0000
        99         8  0.373817E+00      0.0000      0.0000
       100         8  0.616023E-01      0.0000      0.0000
       101         8  0.112269E+00      0.0000      0.0000
       102         8  0.159022E+00      0.0000      0.0000
       103         8  0.124668E+00      0.0000      0.0000
       104         8  0.648167E-01      0.0000      0.0000
       105         8  0.186555E+00      0.0000      0.0000
       106         8  0.364944E-01      0.0000      0.0000
       107         8  0.256695E+00      0.0000      0.0000
       108         8  0.178496E+00      0.0000      0.0000
       109         8  0.109149E+00      0.0000      0.0000
       110         8  0.141869E+00      0.0000      0.0000
       111         8  0.135930E+00      0.0000      0.0000
       112         8  0.105197E+00      0.0000      0.0000
       113         8  0.112350E+00      0.0000      0.0000
       114         8  0.139568E+00      0.0000      0.0000
       115         8  0.128262E+00      0.0000      0.0000
       116         8  0.290346E+00      0.0000      0.0000
       117         8  0.108353E+00      0.0000      0.0000
       118         8  0.242297E+00      0.0000      0.0000
       119         8  0.198135E+00      0.0000      0.0000
       120         8  0.168311E+00      0.0000      0.0000
       121         8  0.850594E-01      0.0000      0.0000
       122         8  0.170658E+00      0.0000      0.0000
       123         8  0.128128E+00      0.0000      0.0000
       124         8  0.151681E+00      0.0000      0.0000
       125         8  0.224844E+00      0.0000      0.0000
       126         8  0.254543E+00      0.0000      0.0000
       127         8  0.117052E+00      0.0000      0.0000
       128         8  0.159402E+00      0.0000      0.0000
       129         8  0.243488E+00      0.0000      0.0000
       130         8  0.840874E-01      0.0000      0.0000
       131         8  0.134534E+00      0.0000      0.0000
       132         8  0.159257E+00      0.0000      0.0000
       133         8  0.103914E+00      0.0000      0.0000
       134         8  0.237873E+00      0.0000      0.0000
       135         8  0.125546E+00      0.0000      0.0000
       136         8  0.194450E-01      0.0000      0.0000
       137         8  0.249157E+00      0.0000      0.0000
       138         8  0.119233E+00      0.0000      0.0000
       139         8  0.150145E+00      0.0000      0.0000
       140         8  0.119148E+00      0.0000      0.0000
       141         8  0.202021E+00      0.0000      0.0000
       142         8  0.144967E+00      0.0000      0.0000
       143         8  0.127318E+00      0.0000      0.0000
       144         8  0.101373E+00      0.0000      0.0000
       145         8  0.143679E+00      0.0000      0.0000
       146         8  0.876057E-01      0.0000      0.0000
       147         8  0.783313E-01      0.0000      0.0000
       148         8  0.111684E+00      0.0000      0.0000
       149         8  0.301246E+00      0.0000      0.0000
       150         8  0.140996E+00      0.0000      0.0000
       151         8  0.167633E+00      0.0000      0.0000
       152         8  0.206197E+00      0.0000      0.0000
       153         8  0.174316E+00      0.0000      0.0000
       154         8  0.227734E+00      0.0000      0.0000
       155         8  0.192367E+00      0.0000      0.0000
       156         8  0.157125E+00      0.0000      0.0000
       157         8  0.129450E+00      0.0000      0.0000
       158         8  0.138004E+00      0.0000      0.0000
       159         8  0.174143E+00      0.0000      0.0000
       160         8  0.995686E-01      0.0000      0.0000
       161         8  0.154606E+00      0.0000      0.0000
       162         8  0.423447E+00      0.0000      0.0000
       163         8  0.211654E+00      0.0000      0.0000
       164         8  0.255584E+00      0.0000      0.0000
       165         8  0.271955E+00      0.0000      0.0000
       166         8  0.259483E+00      0.0000      0.0000
       167         8  0.236977E+00      0.0000      0.0000
       168         8  0.393881E+00      0.0000      0.0000
       169         8  0.307110E+00      0.0000      0.0000
       170         8  0.168796E+00      0.0000      0.0000
       171         8  0.269730E+00      0.0000      0.0000
       172         8  0.261938E+00      0.0000      0.0000
       173         8  0.205339E+00      0.0000      0.0000
       174         8  0.248357E+00      0.0000      0.0000
       175         8  0.408643E+00      0.0000      0.0000
       176         8  0.234311E+00      0.0000      0.0000
       177         8  0.165078E+00      0.0000      0.0000
       178         8  0.129347E+00      0.0000      0.0000
