 Configuration with minimum energy:           25
 Configuration with maximum energy:            6

Temperature=      1.0000
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
         1         4  0.254911E+00      0.0000      0.0000
         2         4  0.132473E+00      0.0000      0.0000
         3         4  0.160556E+00      0.0000      0.0000
         4         4  0.139697E+00      0.0000      0.0000
         5         4  0.154434E+00      0.0000      0.0000
         6         4  0.263726E+00      0.0000      0.0000
         7         4  0.120814E+00      0.0000      0.0000
         8         8  0.101528E+00      0.0000      0.0000
         9         8  0.819158E-01      0.0000      0.0000
        10         8  0.951177E-01      0.0000      0.0000
        11         8  0.884966E-01      0.0000      0.0000
        12         8  0.938829E-01      0.0000      0.0000
        13         8  0.121591E+00      0.0000      0.0000
        14         8  0.215849E+00      0.0000      0.0000
        15         8  0.100442E+00      0.0000      0.0000
        16         4  0.203330E+00      0.0000      0.0000
        17         4  0.896126E-01      0.0000      0.0000
        18         4  0.902253E-01      0.0000      0.0000
        19         4  0.103219E+00      0.0000      0.0000
        20         4  0.730565E-01      0.0000      0.0000
        21         4  0.762447E-01      0.0000      0.0000
        22         4  0.129659E+00      0.0000      0.0000
        23         8  0.914508E-01      0.0000      0.0000
        24         8  0.667621E-01      0.0000      0.0000
        25         8  0.000000E+00      0.9999      0.1250
        26         8  0.167463E+00      0.0000      0.0000
        27         8  0.547952E-01      0.0000      0.0000
        28         8  0.205136E-01      0.0000      0.0000
        29         8  0.843590E-03      0.0001      0.0000
        30         8  0.691061E-01      0.0000      0.0000
        31         8  0.156068E+00      0.0000      0.0000
        32         8  0.934215E-01      0.0000      0.0000
        33         8  0.293555E-01      0.0000      0.0000
        34         8  0.354273E-01      0.0000      0.0000
        35         8  0.591802E-01      0.0000      0.0000
        36         8  0.223282E-01      0.0000      0.0000
        37         8  0.865231E-01      0.0000      0.0000
        38         8  0.131610E-01      0.0000      0.0000
        39         4  0.465982E-01      0.0000      0.0000
        40         4  0.159759E-01      0.0000      0.0000
        41         4  0.156018E+00      0.0000      0.0000
        42         4  0.335758E-01      0.0000      0.0000
        43         4  0.278564E-01      0.0000      0.0000
        44         4  0.525432E-01      0.0000      0.0000
        45         4  0.470775E-01      0.0000      0.0000


Temperature=    300.0000
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
         1         4  0.254911E+00      0.0000      0.0000
         2         4  0.132473E+00      0.0005      0.0001
         3         4  0.160556E+00      0.0002      0.0000
         4         4  0.139697E+00      0.0004      0.0001
         5         4  0.154434E+00      0.0002      0.0001
         6         4  0.263726E+00      0.0000      0.0000
         7         4  0.120814E+00      0.0008      0.0002
         8         8  0.101528E+00      0.0035      0.0004
         9         8  0.819158E-01      0.0075      0.0009
        10         8  0.951177E-01      0.0045      0.0006
        11         8  0.884966E-01      0.0059      0.0007
        12         8  0.938829E-01      0.0048      0.0006
