#N;FracGe;E_exp_total;E_min_total;Var_total;E_exp_ladoSi;E_min_ladoSi;E_exp_ladoGe;E_min_ladoGe;E_exp_combinada;Delta_exp_total;Delta_min_total;Delta_exp_ladoSi;Delta_min_ladoSi;Delta_exp_ladoGe;Delta_min_ladoGe;Delta_exp_combinada;Ratio_aceptacion
0;0.0000;-3089.114852;-3089.114852;0.000000;-3088.998354;-3088.998354;-3436.390040;-3436.390040;-3162.474067;8.300141;8.300141;8.768488;8.768488;-1387.823267;-1387.823267;-286.620199;1.000000
1;0.0417;-3082.449622;-3082.497430;0.007678;-3082.176650;-3082.182151;-3580.740362;-3580.740362;-3082.176650;7.006786;6.814585;8.104192;8.082079;-1996.232695;-1996.232695;8.104192;1.000000
2;0.0833;-3075.981133;-3076.152596;0.020768;-3075.346668;-3075.446325;-3684.649663;-3684.649663;-3075.346668;4.922485;4.233166;7.473177;7.072533;-2442.060234;-2442.060234;7.473177;1.000000
3;0.1250;-3069.895280;-3070.160426;0.030317;-3068.507120;-3068.665219;-3732.683502;-3732.683502;-3068.507120;1.299907;0.233960;6.880618;6.245022;-2663.255999;-2663.255999;6.880618;1.000000
4;0.1667;-3064.502986;-3065.053419;0.066673;-3061.641965;-3061.925845;-3753.766364;-3753.766364;-3061.641965;-5.110936;-7.323798;6.391003;5.249744;-2776.102851;-2776.102851;6.391003;1.000000
5;0.2083;-3060.393174;-3060.714137;0.092205;-3054.860542;-3055.375112;-3701.714898;-3701.714898;-3054.860542;-16.677641;-17.967983;5.564769;3.496082;-2594.933458;-2594.933458;5.564769;1.000000
6;0.2500;-3058.391562;-3058.871344;0.140568;-3048.327758;-3049.033596;-3653.645912;-3653.645912;-3048.327758;-36.719777;-38.648611;3.738950;0.901325;-2429.774514;-2429.774514;3.738950;1.000000
7;0.2917;-3040.790206;-3041.276356;0.042219;-3040.796106;-3041.291378;-3040.742386;-3041.144139;-3040.796106;5.952520;3.998090;5.928803;3.937700;6.144768;4.529633;5.928803;0.163276
8;0.3333;-3033.688069;-3034.081842;0.017694;-3033.656019;-3034.051837;-3034.433936;-3034.827187;-3033.656019;6.415629;4.832573;6.544474;4.953199;3.417076;1.836119;6.544474;0.125370
9;0.3750;-3026.738809;-3027.198208;0.042693;-3026.740188;-3027.195080;-3026.749567;-3027.221320;-3026.740188;6.264134;4.417249;6.258591;4.429824;6.220883;4.324331;6.258591;0.131320
10;0.4167;-3019.913528;-3020.397932;0.076373;-3019.898799;-3020.406653;-3020.085257;-3020.592291;-3019.898799;5.614218;3.666806;5.673431;3.631745;4.923831;2.885439;5.673431;0.122660
11;0.4583;-3012.750095;-3013.296943;0.072968;-3012.847471;-3013.428890;-3012.636199;-3013.123544;-3012.847471;6.323747;4.125298;5.932277;3.594841;6.781635;4.822399;5.932277;0.115223
12;0.5000;-3005.523124;-3005.950195;0.049985;-3005.700514;-3006.177592;-3005.376699;-3005.864363;-3005.700514;7.288716;5.571793;6.575568;4.657608;7.877374;5.916860;6.575568;0.110028
13;0.5417;-2998.649055;-2999.227507;0.068116;-2998.341731;-2998.593900;-2998.953014;-2999.563652;-2998.953014;6.834936;4.509434;8.070448;7.056672;5.612955;3.158052;5.612955;0.112557
14;0.5833;-2991.272116;-2991.772748;0.047112;-2991.171612;-2991.635955;-2991.319778;-2991.831697;-2991.319778;8.402810;6.390158;8.806857;6.940094;8.211198;6.153167;8.211198;0.105937
15;0.6250;-2983.988764;-2984.561079;0.040019;-2984.224231;-2984.678327;-2983.977734;-2984.561079;-2983.977734;9.594441;7.293605;8.647811;6.822245;9.638781;7.293605;9.638781;0.143988
16;0.6667;-2976.834502;-2977.165964;0.023651;-2977.092609;-2977.538916;-2976.822645;-2977.142157;-2976.822645;10.267102;8.934551;9.229454;7.435202;10.314770;9.030258;10.314770;0.103025
17;0.7083;-2969.706943;-2970.139755;0.040138;-2970.198618;-2970.718195;-2969.694925;-2970.119120;-2969.694925;10.832407;9.092409;8.855768;6.766951;10.880725;9.175367;10.880725;0.128657
18;0.7500;-2976.392160;-2976.393467;0.001053;-3015.415529;-3015.525038;-2975.966574;-2976.008343;-2975.966574;-44.132709;-44.137964;-201.015325;-201.455575;-42.421761;-42.589681;-42.421761;1.000000
19;0.7917;-2959.828385;-2959.981165;0.043128;-3017.987557;-3017.992359;-2959.386381;-2959.540718;-2959.386381;-5.631716;-6.245928;-239.444509;-239.463815;-3.854764;-4.475230;-3.854764;1.000000
20;0.8333;-2950.972846;-2951.058124;0.032831;-3020.400227;-3020.442342;-2950.683336;-2950.769911;-2950.683336;1.880455;1.537619;-277.233043;-277.402353;3.044351;2.696298;3.044351;1.000000
21;0.8750;-2940.955287;-2941.087931;0.004867;-3024.571015;-3024.618823;-2940.782078;-2940.918729;-2940.782078;14.064205;13.530947;-322.089598;-322.281798;14.760546;14.211177;14.760546;1.000000
22;0.9167;-2933.585740;-2933.654700;0.002954;-3030.189546;-3030.189550;-2933.474494;-2933.544910;-2933.474494;15.602360;15.325125;-372.766404;-372.766419;16.049591;15.766503;16.049591;1.000000
23;0.9583;-2926.210137;-2926.225405;0.000503;-3034.394014;-3034.394014;-2926.143047;-2926.157776;-2926.143047;17.164859;17.103477;-417.758362;-417.758362;17.434575;17.375361;17.434575;1.000000
24;1.0000;-2918.850648;-2918.850648;0.000000;-3038.559114;-3038.559114;-2918.810490;-2918.810490;-2918.810490;18.662579;18.662579;-462.592049;-462.592049;18.824022;18.824022;18.824022;1.000000
