#N FracGe E_exp_total E_min_total Var_total E_exp_ladoSi E_min_ladoSi E_exp_ladoGe E_min_ladoGe E_exp_combinada Delta_exp_total Delta_min_total Delta_exp_ladoSi Delta_min_ladoSi Delta_exp_ladoGe Delta_min_ladoGe Delta_exp_combinada Ratio_aceptacion
0 0.0000 -3088.987839 -3088.987839 0.000000 -3088.998354 -3088.998354 -3057.642626 -3057.642626 -3082.366404 8.810761 8.810761 8.768488 8.768488 134.825482 134.825482 35.430403 1.000000
1 0.0417 -3082.159981 -3082.177621 0.000225 -3082.176650 -3082.182151 -3085.265469 -3085.265469 -3082.176650 8.171208 8.100291 8.104192 8.082079 -4.313546 -4.313546 8.104192 1.000000
2 0.0833 -3075.328592 -3075.488031 0.004754 -3075.346668 -3075.446325 -3109.467265 -3109.468397 -3075.346668 7.545848 6.904865 7.473177 7.072533 -129.699204 -129.703754 7.473177 1.000000
3 0.1250 -3068.510760 -3068.805678 0.017113 -3068.504016 -3068.660553 -3127.353193 -3127.353194 -3068.504016 6.865983 5.680349 6.893096 6.263783 -229.693670 -229.693676 6.893096 1.000000
4 0.1667 -3061.752595 -3062.297969 0.047806 -3061.641757 -3061.939379 -3142.183538 -3142.183538 -3061.641757 5.946248 3.753722 6.391841 5.195332 -317.404013 -317.404013 6.391841 1.000000
5 0.2083 -3055.166237 -3055.729357 0.102505 -3054.787208 -3055.272892 -3146.408061 -3146.408068 -3054.787208 4.335806 2.071937 5.859589 3.907031 -362.476597 -362.476624 5.859589 1.000000
6 0.2500 -3048.930505 -3049.504997 0.145981 -3048.113582 -3048.820120 -3148.564678 -3148.568614 -3048.113582 1.315772 -0.993811 4.599985 1.759546 -399.235739 -399.251562 4.599985 1.000000
7 0.2917 -3043.706977 -3043.816680 0.024152 -3042.102953 -3042.197815 -3127.029742 -3127.029743 -3042.102953 -5.773548 -6.214578 0.674985 0.293619 -340.749573 -340.749579 0.674985 0.143472
8 0.3333 -3038.792297 -3038.815592 0.008436 -3035.694217 -3035.846783 -3116.890103 -3116.890384 -3035.694217 -14.104505 -14.198153 -1.649533 -2.262881 -328.075036 -328.076166 -1.649533 0.141844
9 0.3750 -3034.282982 -3034.402066 0.025301 -3027.966137 -3028.062371 -3102.554235 -3102.554759 -3027.966137 -24.065119 -24.543861 1.330004 0.943119 -298.530721 -298.532831 1.330004 0.110375
10 0.4167 -3032.085514 -3032.097195 0.011367 -3021.458399 -3021.543953 -3095.494837 -3095.505460 -3021.458399 -43.319869 -43.366831 -0.596508 -0.940453 -298.239437 -298.282142 -0.596508 0.154321
11 0.4583 -3030.520162 -3030.532443 0.003092 -3015.296893 -3015.296893 -3074.919994 -3074.931703 -3015.296893 -65.115869 -65.165242 -3.914945 -3.914947 -243.613059 -243.660132 -3.914945 0.151057
12 0.5000 -3029.567788 -3029.567811 0.000046 -3007.809052 -3007.842901 -3057.061581 -3057.065466 -3007.809052 -89.376175 -89.376270 -1.901224 -2.037303 -199.907332 -199.922951 -1.901224 0.116822
13 0.5417 -3023.434506 -3023.470632 0.008941 -3001.386179 -3001.387369 -3038.751856 -3038.796582 -3038.751856 -92.808082 -92.953316 -4.168909 -4.173692 -154.387231 -154.567042 -154.387231 0.170648
14 0.5833 -3015.369148 -3015.384816 0.010537 -2989.241958 -2989.242059 -3022.975487 -3023.001160 -3022.975487 -88.472611 -88.535601 16.564496 16.564091 -119.051786 -119.154995 -119.051786 0.086133
15 0.6250 -3004.806304 -3004.806305 0.000002 -2985.557914 -2985.566720 -3008.272680 -3008.272682 -3008.272680 -74.096695 -74.096698 3.286108 3.250705 -88.032296 -88.032304 -88.032296 0.103950
16 0.6667 -2994.082972 -2994.082973 0.000001 -2975.873965 -2975.878822 -2995.451128 -2995.451129 -2995.451128 -59.075582 -59.075584 14.128672 14.109145 -64.575872 -64.575878 -64.575872 0.080841
17 0.7083 -2980.267060 -2980.267116 0.000110 -2964.356507 -2964.356509 -2980.932398 -2980.932529 -2980.932398 -31.621608 -31.621834 32.342352 32.342342 -34.296415 -34.296941 -34.296415 0.176991
18 0.7500 -2968.382117 -2968.510683 0.032759 -2975.743278 -2975.778639 -2968.733693 -2968.841311 -2968.733693 -11.930557 -12.447422 -41.524060 -41.666219 -13.343973 -13.776620 -13.343973 1.000000
19 0.7917 -2957.898595 -2958.138876 0.105743 -2963.161024 -2963.163520 -2958.084866 -2958.370975 -2958.084866 2.126469 1.160483 -19.029666 -19.039699 1.377615 0.227396 1.377615 1.000000
20 0.8333 -2948.518710 -2949.130350 0.105122 -2950.164043 -2950.164070 -2948.690357 -2949.272436 -2948.690357 11.746627 9.287699 5.132024 5.131912 11.056567 8.716480 11.056567 1.000000
21 0.8750 -2940.672194 -2940.810492 0.004553 -2928.514422 -2928.519717 -2940.782078 -2940.918729 -2940.782078 15.202303 14.646315 64.079247 64.057961 14.760546 14.211177 14.760546 1.000000
22 0.9167 -2933.413990 -2933.493924 0.003542 -2905.161682 -2905.209004 -2933.474494 -2933.544910 -2933.474494 16.292832 15.971481 129.873389 129.683142 16.049591 15.766503 16.049591 1.000000
23 0.9583 -2926.101063 -2926.116105 0.000383 -2875.804894 -2875.804894 -2926.143047 -2926.157776 -2926.143047 17.603362 17.542890 219.805136 219.805136 17.434575 17.375361 17.434575 1.000000
24 1.0000 -2918.785442 -2918.785442 0.000000 -2844.117815 -2844.117815 -2918.810490 -2918.810490 -2918.810490 18.924721 18.924721 319.105172 319.105172 18.824022 18.824022 18.824022 1.000000
