#N;FracGe;E_exp_total;E_min_total;Var_total;E_exp_ladoSi;E_min_ladoSi;E_exp_ladoGe;E_min_ladoGe;E_exp_combinada;Delta_exp_total;Delta_min_total;Delta_exp_ladoSi;Delta_min_ladoSi;Delta_exp_ladoGe;Delta_min_ladoGe;Delta_exp_combinada;Ratio_aceptacion
5;0.2083;-3060.646101;-3060.714137;0.013291;-3055.039274;-3055.375112;-3701.714898;-3701.714898;-3055.039274;-17.694464;-17.967983;4.846226;3.496082;-2594.933458;-2594.933458;4.846226;1.000000
6;0.2500;-3058.827827;-3058.871344;0.020739;-3048.763106;-3049.033596;-3653.645912;-3653.645912;-3048.763106;-38.473663;-38.648611;1.988752;0.901325;-2429.774514;-2429.774514;1.988752;1.000000
7;0.2917;-3041.000605;-3041.164018;0.017235;-3041.042303;-3041.164018;-3041.014149;-3041.164018;-3041.042303;5.106671;4.449715;4.939035;4.449715;5.052219;4.449715;4.939035;1.000000
8;0.3333;-3034.043066;-3034.169972;0.012684;-3034.021484;-3034.154857;-3033.972069;-3034.094981;-3034.021484;4.988459;4.478270;5.075223;4.539037;5.273882;4.779752;5.075223;1.000000
9;0.3750;-3026.974138;-3027.111777;0.011786;-3027.951555;-3027.966647;-3027.076850;-3027.230975;-3027.951555;5.318059;4.764718;1.388625;1.327951;4.905134;4.285519;1.388625;1.000000
10;0.4167;-3019.939191;-3020.087532;0.014608;-3019.832856;-3019.995967;-3019.848085;-3019.985898;-3019.832856;5.511048;4.914682;5.938537;5.282795;5.877314;5.323276;5.938537;1.000000
11;0.4583;-3012.921345;-3013.030065;0.011324;-3013.079920;-3013.184796;-3012.996399;-3013.127756;-3013.079920;5.635283;5.198208;4.997778;4.576153;5.333550;4.805466;4.997778;1.000000
12;0.5000;-3006.000958;-3006.113825;0.017074;-3006.607526;-3006.661955;-3006.398275;-3006.488465;-3006.607526;5.367714;4.913967;2.929179;2.710360;3.770413;3.407830;2.929179;1.000000
13;0.5417;-2998.929180;-2999.059457;0.022600;-2999.048895;-2999.163471;-2998.705800;-2998.827949;-2998.705800;5.708772;5.185032;5.227490;4.766871;6.606811;6.115742;6.606811;1.000000
14;0.5833;-2991.732594;-2991.861176;0.016648;-2991.632264;-2991.753638;-2992.069367;-2992.150400;-2992.069367;6.551585;6.034657;6.954935;6.466982;5.197684;4.871910;5.197684;1.000000
15;0.6250;-2984.566878;-2984.682426;0.016155;-2985.035772;-2985.111683;-2984.639735;-2984.733107;-2984.639735;7.270294;6.805764;5.385234;5.080057;6.977390;6.602016;6.977390;1.000000
16;0.6667;-2977.279471;-2977.409079;0.013754;-2977.729348;-2977.789418;-2977.459761;-2977.583598;-2977.459761;8.478227;7.957175;6.669622;6.428126;7.753422;7.255567;7.753422;1.000000
17;0.7083;-2970.025405;-2970.167401;0.014099;-2969.977713;-2970.092929;-2970.264883;-2970.361760;-2970.264883;9.552123;8.981266;9.743854;9.280659;8.589366;8.199900;8.589366;1.000000
18;0.7500;-2976.393014;-2976.393467;0.000001;-3015.497753;-3015.525038;-2975.984637;-2976.008343;-2975.984637;-44.136146;-44.137964;-201.345884;-201.455575;-42.494377;-42.589681;-42.494377;1.000000
19;0.7917;-2959.939590;-2959.981165;0.007233;-3017.992342;-3017.992359;-2959.500225;-2959.540718;-2959.500225;-6.078787;-6.245928;-239.463748;-239.463815;-4.312440;-4.475230;-4.312440;1.000000
