#N FracGe E_exp_total E_min_total Var_total E_exp_ladoSi E_min_ladoSi E_exp_ladoGe E_min_ladoGe E_exp_combinada Delta_exp_total Delta_min_total Delta_exp_ladoSi Delta_min_ladoSi Delta_exp_ladoGe Delta_min_ladoGe Delta_exp_combinada Ratio_aceptacion
0 0.0000 -3089.114852 -3089.114852 0.000000 -3088.998354 -3088.998354 -3436.390040 -3436.390040 -3162.474067 8.300141 8.300141 8.768488 8.768488 -1387.823267 -1387.823267 -286.620199 1.000000
1 0.0417 -3082.473818 -3082.497430 0.002020 -3082.176756 -3082.182151 -3580.740362 -3580.740362 -3082.176756 6.909512 6.814585 8.103767 8.082079 -1996.232695 -1996.232695 8.103767 1.000000
2 0.0833 -3076.047537 -3076.152596 0.007340 -3075.359365 -3075.446325 -3684.649663 -3684.649663 -3075.359365 4.655528 4.233166 7.422131 7.072533 -2442.060234 -2442.060234 7.422131 1.000000
3 0.1250 -3070.015515 -3070.160426 0.016011 -3068.539439 -3068.665219 -3732.683502 -3732.683502 -3068.539439 0.816532 0.233960 6.750687 6.245022 -2663.255999 -2663.255999 6.750687 1.000000
4 0.1667 -3064.890614 -3065.053419 0.049814 -3061.706697 -3061.925845 -3753.766364 -3753.766364 -3061.706697 -6.669287 -7.323798 6.130766 5.249744 -2776.102851 -2776.102851 6.130766 1.000000
5 0.2083 -3060.646101 -3060.714137 0.013291 -3055.039274 -3055.375112 -3701.714898 -3701.714898 -3055.039274 -17.694464 -17.967983 4.846226 3.496082 -2594.933458 -2594.933458 4.846226 1.000000
6 0.2500 -3058.827827 -3058.871344 0.020739 -3048.763106 -3049.033596 -3653.645912 -3653.645912 -3048.763106 -38.473663 -38.648611 1.988752 0.901325 -2429.774514 -2429.774514 1.988752 1.000000
7 0.2917 -3041.038317 -3041.236136 0.016072 -3041.142659 -3041.385715 -3041.193575 -3041.401131 -3041.142659 4.955060 4.159783 4.535583 3.558443 4.330889 3.496465 4.535583 1.000000
8 0.3333 -3034.106114 -3034.334632 0.021120 -3034.001524 -3034.176523 -3034.256967 -3034.455244 -3034.001524 4.734994 3.816302 5.155470 4.451933 4.128531 3.331414 5.155470 1.000000
9 0.3750 -3027.159571 -3027.327429 0.021376 -3027.206435 -3027.397200 -3027.237776 -3027.431648 -3027.206435 4.572579 3.897751 4.384174 3.617255 4.258176 3.478768 4.384174 1.000000
10 0.4167 -3020.135712 -3020.313013 0.024100 -3020.635279 -3020.743865 -3019.976545 -3020.179662 -3020.635279 4.720989 4.008200 2.712619 2.276079 5.360875 4.544301 2.712619 1.000000
11 0.4583 -3013.175448 -3013.364783 0.031101 -3013.117024 -3013.348820 -3012.893423 -3013.099493 -3013.117024 4.613736 3.852565 4.848610 3.916742 5.747536 4.919091 4.848610 1.000000
12 0.5000 -3006.048702 -3006.242008 0.023351 -3005.835769 -3006.046971 -3006.159480 -3006.354964 -3005.835769 5.175775 4.398641 6.031811 5.182733 4.730423 3.944534 6.031811 1.000000
13 0.5417 -2998.987313 -2999.199288 0.035102 -2998.855674 -2999.017653 -2998.940564 -2999.119563 -2998.940564 5.475065 4.622876 6.004284 5.353090 5.663006 4.943390 5.663006 1.000000
14 0.5833 -2991.767461 -2991.992884 0.027097 -2991.568874 -2991.797065 -2991.637446 -2991.794696 -2991.637446 6.411412 5.505161 7.209774 6.292398 6.934101 6.301921 6.934101 1.000000
15 0.6250 -2984.564236 -2984.764819 0.025515 -2984.411351 -2984.612034 -2984.514935 -2984.746284 -2984.514935 7.280913 6.474528 7.895545 7.088754 7.479117 6.549042 7.479117 1.000000
16 0.6667 -2977.396046 -2977.606971 0.029821 -2977.334528 -2977.524921 -2977.223519 -2977.368321 -2977.223519 8.009569 7.161602 8.256883 7.491464 8.703164 8.121029 8.703164 1.000000
17 0.7083 -2970.211703 -2970.431067 0.036809 -2970.005389 -2970.301316 -2970.119773 -2970.316082 -2970.119773 8.803161 7.921271 9.632589 8.442899 9.172740 8.383534 9.172740 1.000000
18 0.7500 -2976.393014 -2976.393467 0.000001 -3015.497753 -3015.525038 -2975.984637 -2976.008343 -2975.984637 -44.136146 -44.137964 -201.345884 -201.455575 -42.494377 -42.589681 -42.494377 1.000000
19 0.7917 -2959.939590 -2959.981165 0.007233 -3017.992342 -3017.992359 -2959.500225 -2959.540718 -2959.500225 -6.078787 -6.245928 -239.463748 -239.463815 -4.312440 -4.475230 -4.312440 1.000000
20 0.8333 -2951.046025 -2951.058124 0.003992 -3020.431698 -3020.442342 -2950.757766 -2950.769911 -2950.757766 1.586257 1.537619 -277.359562 -277.402353 2.745123 2.696298 2.745123 1.000000
21 0.8750 -2940.979807 -2941.087931 0.003690 -3024.608307 -3024.618823 -2940.808935 -2940.918729 -2940.808935 13.965629 13.530947 -322.239519 -322.281798 14.652572 14.211177 14.652572 1.000000
22 0.9167 -2933.600634 -2933.654700 0.002218 -3030.189550 -3030.189550 -2933.488185 -2933.544910 -2933.488185 15.542480 15.325125 -372.766419 -372.766419 15.994551 15.766503 15.994551 1.000000
23 0.9583 -2926.212858 -2926.225405 0.000434 -3034.394014 -3034.394014 -2926.146206 -2926.157776 -2926.146206 17.153921 17.103477 -417.758362 -417.758362 17.421879 17.375361 17.421879 1.000000
24 1.0000 -2918.850648 -2918.850648 0.000000 -3038.559114 -3038.559114 -2918.810490 -2918.810490 -2918.810490 18.662579 18.662579 -462.592049 -462.592049 18.824022 18.824022 18.824022 1.000000
