 Configuration with minimum energy:            3
 Configuration with maximum energy:           17

Temperature=      1.0000
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
         1         2  0.203217E-01      0.0000      0.0000
         2         2  0.747066E-01      0.0000      0.0000
         3         2  0.000000E+00      1.0000      0.5000
         4         4  0.147667E+00      0.0000      0.0000
         5         4  0.237124E+00      0.0000      0.0000
         6         4  0.126550E+00      0.0000      0.0000
         7         4  0.963418E-01      0.0000      0.0000
         8         8  0.235939E+00      0.0000      0.0000
         9         8  0.900148E-01      0.0000      0.0000
        10         8  0.348575E-01      0.0000      0.0000
        11         8  0.316073E-01      0.0000      0.0000
        12         8  0.111218E+00      0.0000      0.0000
        13         8  0.115022E+00      0.0000      0.0000
        14         8  0.104746E+00      0.0000      0.0000
        15         8  0.874347E-01      0.0000      0.0000
        16         2  0.243286E+00      0.0000      0.0000
        17         2  0.380496E+00      0.0000      0.0000
        18         2  0.222685E+00      0.0000      0.0000
        19         8  0.194282E+00      0.0000      0.0000
        20         8  0.178308E+00      0.0000      0.0000
        21         8  0.151766E+00      0.0000      0.0000
        22         8  0.138295E+00      0.0000      0.0000
        23         8  0.379448E+00      0.0000      0.0000
        24         8  0.201460E+00      0.0000      0.0000
        25         8  0.220425E+00      0.0000      0.0000
        26         8  0.204308E+00      0.0000      0.0000
        27         4  0.125323E+00      0.0000      0.0000
        28         4  0.665568E-01      0.0000      0.0000
        29         4  0.547377E-01      0.0000      0.0000
        30         4  0.904222E-01      0.0000      0.0000
        31         4  0.746526E-01      0.0000      0.0000
        32         4  0.273165E+00      0.0000      0.0000
        33         4  0.198780E+00      0.0000      0.0000
        34         8  0.130169E+00      0.0000      0.0000
        35         8  0.139348E+00      0.0000      0.0000
        36         8  0.134339E+00      0.0000      0.0000
        37         8  0.144263E+00      0.0000      0.0000
        38         8  0.969281E-01      0.0000      0.0000
        39         8  0.209371E+00      0.0000      0.0000
        40         8  0.137051E+00      0.0000      0.0000
        41         8  0.135962E+00      0.0000      0.0000
        42         4  0.191834E+00      0.0000      0.0000
        43         4  0.202714E+00      0.0000      0.0000
        44         4  0.145905E+00      0.0000      0.0000
        45         4  0.184696E+00      0.0000      0.0000
        46         4  0.189798E+00      0.0000      0.0000
        47         4  0.352901E+00      0.0000      0.0000
        48         4  0.290227E+00      0.0000      0.0000


Temperature=    300.0000
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
         1         2  0.203217E-01      0.0897      0.0449
         2         2  0.747066E-01      0.0109      0.0055
         3         2  0.000000E+00      0.1969      0.0984
         4         4  0.147667E+00      0.0013      0.0003
         5         4  0.237124E+00      0.0000      0.0000
         6         4  0.126550E+00      0.0029      0.0007
         7         4  0.963418E-01      0.0095      0.0024
         8         8  0.235939E+00      0.0001      0.0000
         9         8  0.900148E-01      0.0242      0.0030
        10         8  0.348575E-01      0.2045      0.0256
        11         8  0.316073E-01      0.2319      0.0290
        12         8  0.111218E+00      0.0107      0.0013
        13         8  0.115022E+00      0.0092      0.0012
        14         8  0.104746E+00      0.0137      0.0017
        15         8  0.874347E-01      0.0268      0.0033
        16         2  0.243286E+00      0.0000      0.0000
        17         2  0.380496E+00      0.0000      0.0000
        18         2  0.222685E+00      0.0000      0.0000
        19         8  0.194282E+00      0.0004      0.0001
        20         8  0.178308E+00      0.0008      0.0001
        21         8  0.151766E+00      0.0022      0.0003
        22         8  0.138295E+00      0.0037      0.0005
        23         8  0.379448E+00      0.0000      0.0000
        24         8  0.201460E+00      0.0003      0.0000
        25         8  0.220425E+00      0.0002      0.0000
        26         8  0.204308E+00      0.0003      0.0000
        27         4  0.125323E+00      0.0031      0.0008
        28         4  0.665568E-01      0.0300      0.0075
        29         4  0.547377E-01      0.0474      0.0118
        30         4  0.904222E-01      0.0119      0.0030
        31         4  0.746526E-01      0.0219      0.0055
        32         4  0.273165E+00      0.0000      0.0000
        33         4  0.198780E+00      0.0002      0.0000
        34         8  0.130169E+00      0.0051      0.0006
        35         8  0.139348E+00      0.0036      0.0004
        36         8  0.134339E+00      0.0044      0.0005
        37         8  0.144263E+00      0.0030      0.0004
        38         8  0.969281E-01      0.0185      0.0023
        39         8  0.209371E+00      0.0002      0.0000
        40         8  0.137051E+00      0.0039      0.0005
        41         8  0.135962E+00      0.0041      0.0005
        42         4  0.191834E+00      0.0002      0.0001
