 Configuration with minimum energy:            3
 Configuration with maximum energy:            4

Temperature=      1.0000
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
         1         8  0.567432E-02      0.0000      0.0000
         2         8  0.239997E-01      0.0000      0.0000
         3         4  0.000000E+00      1.0000      0.2500
         4         4  0.722349E-01      0.0000      0.0000


Temperature=    300.0000
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
         1         8  0.567432E-02      0.4645      0.0581
         2         8  0.239997E-01      0.2286      0.0286
         3         4  0.000000E+00      0.2892      0.0723
         4         4  0.722349E-01      0.0177      0.0044


Temperature=   1000.0000
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
         1         8  0.567432E-02      0.3886      0.0486
         2         8  0.239997E-01      0.3141      0.0393
         3         4  0.000000E+00      0.2075      0.0519
         4         4  0.722349E-01      0.0897      0.0224


 Infinite Temperature Limit
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
         1         8  0.567432E-02      0.3333      0.0417
         2         8  0.239997E-01      0.3333      0.0417
         3         4  0.000000E+00      0.1667      0.0417
         4         4  0.722349E-01      0.1667      0.0417
