site_i,site_j,count_unique,count_weighted,mean_energy_eV,weighted_mean_energy_eV,delta_from_global_mean_eV,delta_from_weighted_global_mean_eV,distance_ang,shell_index,shell_distance_ang
4,8,1,2,-3061.61865321,-3061.61865321,-0.2575180921576248,-0.2540085643013299,9.044089822578727,232,9.044089822578727
2,11,15,108,-3061.568713996,-3061.573186834444,-0.20757887815761933,-0.2085421887454686,7.923533910877511,196,7.923533910877511
4,10,14,100,-3061.5694228764287,-3061.5719328044006,-0.20828775858626614,-0.20728815870188555,5.5539713888578754,116,5.5539713888578754
4,11,4,28,-3061.56088222,-3061.5531726242857,-0.19974710215774394,-0.18852797858698978,5.602162112742748,125,5.602162112742748
2,12,5,36,-3061.557627804,-3061.5508213677776,-0.19649268615739857,-0.1861767220789261,5.499256986339797,109,5.499075685481517
4,20,5,36,-3061.559242136,-3061.549989842222,-0.19810701815777065,-0.18534519652348536,8.06449227107364,204,8.06449227107364
2,20,7,52,-3061.5534847885715,-3061.5496101446156,-0.1923496707290724,-0.1849654989168812,6.927924885452114,164,6.927924885452114
2,21,4,28,-3061.53291261,-3061.5494811514286,-0.1717774921576165,-0.18483650572989063,5.105721677953852,84,5.105721677953852
2,4,1,1,-3061.54699132,-3061.54699132,-0.18585620215753806,-0.18234667430124318,3.2628129033450604,35,3.2628129033450604
3,4,1,1,-3061.54699132,-3061.54699132,-0.18585620215753806,-0.18234667430124318,6.985911677491076,170,6.985911677491076
2,7,11,74,-3061.540888529091,-3061.541649878379,-0.1797534112483845,-0.17700523268013058,4.89077994343774,73,4.89077994343774
4,17,11,76,-3061.53776923,-3061.5351180257894,-0.17663411215744418,-0.1704733800906979,5.052325335734786,79,5.052325335734786
4,5,11,74,-3061.5293760536365,-3061.5335106689186,-0.16824093579407418,-0.16886602321983446,4.90033445680548,74,4.90033445680548
3,7,2,6,-3061.4901523999997,-3061.532586263333,-0.12901728215729236,-0.16794161763436932,8.972043809734965,230,8.972043809734965
4,22,3,20,-3061.5439257933335,-3061.5325538240004,-0.1827906754911055,-0.16790917830167018,8.085320242988294,205,8.085320242988294
4,21,4,28,-3061.53085709,-3061.5266666114285,-0.16972197215773122,-0.1620219657297639,5.564924193028856,118,5.564924193028856
4,23,3,20,-3061.5058098133336,-3061.522895346,-0.14467469549117595,-0.15825070030132338,5.131593517935377,88,5.131593517935377
2,22,4,28,-3061.5192057824997,-3061.5198578242857,-0.15807066465731623,-0.15521317858701877,7.012844270310539,173,7.012844270310539
4,19,6,44,-3061.52239769,-3061.518176198182,-0.16126257215773876,-0.15353155248340045,5.570678111252825,120,5.570678111252825
2,19,9,60,-3061.5166082033334,-3061.5175678793335,-0.1554730854909394,-0.1529232336347377,5.191544573854641,91,5.191544573854641
2,8,3,10,-3061.5338521933336,-3061.5167257719995,-0.172717075491164,-0.15208112630079995,8.364179461772595,217,8.364179461772595
3,12,5,36,-3061.5195016999996,-3061.5150858455554,-0.158366582157214,-0.15044119985668658,5.677840881967886,128,5.677840881967886
2,3,13,81,-3061.512145572308,-3061.509969317037,-0.15101045446544958,-0.14532467133813043,9.066756705534521,235,9.066756705534521
4,13,2,12,-3061.5349587399996,-3061.508436593333,-0.17382362215721514,-0.1437919476343268,5.605184614550153,126,5.605207304601414
8,12,16,120,-3061.50097458,-3061.502410187667,-0.13983946215739707,-0.13776554196829238,7.422732322394449,186,7.423144716561074
2,18,6,44,-3061.502929005,-3061.50076172,-0.1417938871577462,-0.13611707430118258,8.128780943869538,207,8.128780943869538
4,24,4,28,-3061.4845294825,-3061.5005470728574,-0.12339436465754261,-0.1359024271587259,7.101309022745391,176,7.101309022745391
8,14,5,32,-3061.492604482,-3061.49710788375,-0.13146936415751043,-0.1324632380510593,7.421386401527127,185,7.421386401527127
3,10,15,108,-3061.496463426,-3061.496807685185,-0.13532830815756824,-0.13216303948638597,8.174527835873073,209,8.174527835873073
1,4,57,381,-3061.4920132135085,-3061.495316436745,-0.13087809566604847,-0.1306717910460975,8.999504089233103,231,8.999504089233103
2,17,12,84,-3061.4847406275003,-3061.494657912381,-0.12360550965786388,-0.13001326668245383,5.526141254001483,113,5.526141254001483
4,18,8,52,-3061.49522606875,-3061.4940143238464,-0.13409095090764822,-0.1293696781476683,6.989398864911943,171,6.989398864911943
8,13,5,32,-3061.477768016,-3061.4906965375,-0.11663289815760436,-0.12605189180112575,4.7276098961366015,69,4.7276098961366015
2,14,2,12,-3061.501694515,-3061.4885658099997,-0.14055939715763088,-0.12392116430100941,5.506526776789745,110,5.506526776789745
8,11,18,136,-3061.480099215,-3061.4835587211765,-0.11896409715745904,-0.1189140754777327,4.74348469345941,71,4.74348469345941
7,11,19,144,-3061.474614692632,-3061.4812722372226,-0.11347957478938042,-0.1166275915238657,7.454179337639378,189,7.454179337639378
1,2,69,461,-3061.4720223298555,-3061.4796032520617,-0.11088721201303997,-0.11495860636296129,6.956959657649926,168,6.956959657649926
3,19,6,44,-3061.4826407466667,-3061.4793886099997,-0.1215056288242522,-0.11474396430094203,8.017142741349698,203,8.017142741349698
3,20,7,52,-3061.47905696,-3061.4782932084618,-0.11792184215755697,-0.11364856276304636,5.605229994652676,126,5.605207304601414
13,14,5,34,-3061.4724998459997,-3061.475386007647,-0.11136472815724119,-0.11074136194838502,4.477178838624369,41,4.477178838624369
3,21,3,20,-3061.4775088,-3061.473551256,-0.11637368215770039,-0.10890661030134652,7.979475628415718,198,7.979475628415718
10,12,33,250,-3061.471546050606,-3061.47076649016,-0.11041093276344327,-0.10612184446108586,6.982899925768629,169,6.982899925768629
10,14,32,242,-3061.4676499159377,-3061.4683160855375,-0.10651479809530429,-0.10367143983876304,7.512332416962657,190,7.512332416962657
3,22,4,28,-3061.4745269425002,-3061.4683048028573,-0.1133918246578105,-0.10366015715862886,5.578434098678244,122,5.578434098678244
1,10,180,1396,-3061.465077937278,-3061.4664925287975,-0.10394281943536043,-0.10184788309879877,5.576331370631753,121,5.576331370631753
7,13,4,24,-3061.44121187,-3061.4636650983334,-0.08007675215776544,-0.09902045263470427,7.4304916704281245,187,7.430456842260675
10,13,42,322,-3061.465282208809,-3061.463523570994,-0.10414709096676233,-0.0988789252951392,9.467153411553632,246,9.467153411553632
11,20,35,276,-3061.4634059945715,-3061.4626081713045,-0.10227087672910784,-0.0979635256057918,6.767419348362533,155,6.767419348362533
1,11,156,1212,-3061.461312356218,-3061.4624995937947,-0.10017723837563608,-0.09785494809602824,5.56210854231849,117,5.56210854231849
11,12,31,234,-3061.465105508387,-3061.460399936153,-0.10397039054441848,-0.09575529045423536,4.489991112909378,45,4.489991112909378
7,12,19,144,-3061.4548889989474,-3061.4603555666667,-0.09375388110493077,-0.09571092096803113,4.737097365389586,70,4.737097365389586
10,11,45,346,-3061.463021128,-3061.460270787456,-0.10188601015761378,-0.09562614175729323,9.976335968739596,251,9.976335968739596
11,21,36,284,-3061.459883156111,-3061.4592070861963,-0.09874803826869538,-0.09456244049761153,9.315763821178935,242,9.315763821178935
1,12,134,1044,-3061.456390669254,-3061.4572917427204,-0.09525555141135555,-0.09264709702165419,7.992354194331146,200,7.992354194331146
3,17,12,84,-3061.4549507216666,-3061.4572504885714,-0.09381560382416865,-0.09260584287267193,7.018946278763068,174,7.018946278763068
12,20,29,228,-3061.457585348276,-3061.4556441221052,-0.09645023043367473,-0.09099947640652317,8.716051143341861,222,8.716051143341861
12,22,30,236,-3061.452167713,-3061.452874554915,-0.09103259515768514,-0.0882299092163521,9.364613187276449,245,9.364613187276449
14,21,10,76,-3061.455200719,-3061.450602339474,-0.09406560115758111,-0.08595769377507168,6.611737373224076,148,6.611737373224076
13,21,8,60,-3061.45520293375,-3061.4500474253337,-0.09406781590769242,-0.08540277963493281,8.744923233431388,224,8.744923233431388
8,10,29,216,-3061.4459698600003,-3061.4495138022226,-0.0848347421579092,-0.08486915652383686,6.741325559655642,154,6.741325559655642
14,20,14,108,-3061.4496116235714,-3061.4470103529634,-0.08847650572897692,-0.08236570726467107,9.32384757591569,243,9.32384757591569
2,23,3,20,-3061.4240366233334,-3061.446679192,-0.06290150549102691,-0.08203454630120177,5.48826238115821,108,5.48826238115821
14,18,16,124,-3061.44836458125,-3061.4453256990323,-0.08722946340776616,-0.08068105333359199,5.46957832579705,105,5.46957832579705
12,21,31,244,-3061.444600143871,-3061.443214937869,-0.08346502602853434,-0.07857029217029776,6.08335362211567,137,6.08335362211567
3,18,9,60,-3061.4428813111113,-3061.4423457513335,-0.08174619326882748,-0.07770110563478738,5.060749457272682,80,5.060749457272682
2,24,3,20,-3061.435354996667,-3061.4407528,-0.07421987882435133,-0.07610815430143703,8.094995195923875,206,8.094995195923875
12,19,30,236,-3061.4384130853337,-3061.4369778447453,-0.07727796749122717,-0.07233319904662494,6.73331981496164,153,6.73331981496164
4,6,10,70,-3061.440039018,-3061.436282870571,-0.07890390015745652,-0.07163822487245852,8.293799171035273,215,8.293799171035273
12,24,29,228,-3061.4373493986204,-3061.435739779123,-0.07621428077800374,-0.07109513342447826,5.469057239484898,104,5.468575566085367
13,24,11,84,-3061.4374693663635,-3061.4350486509525,-0.07633424852110693,-0.07040400525374935,4.4926839916485175,46,4.492369567715944
13,17,16,124,-3061.438025899375,-3061.4349772006453,-0.07689078153271112,-0.07033255494661717,5.45957318006514,102,5.45957318006514
11,22,35,276,-3061.433787628857,-3061.4349233984058,-0.07265251101443937,-0.07027875270705408,6.109206631503264,139,6.109206631503264
14,22,9,68,-3061.4305566833336,-3061.434870982353,-0.06942156549121137,-0.07022633665428657,8.782524936332196,225,8.782524936332196
3,5,12,78,-3061.4280974616668,-3061.434747457179,-0.0669623438243434,-0.07010281148041031,8.29235460987362,214,8.29235460987362
13,22,9,68,-3061.4309454199997,-3061.434488321177,-0.06981030215729334,-0.06984367547829606,6.723042714739681,152,6.723042714739681
11,19,34,268,-3061.4345801682352,-3061.4342010026867,-0.07344505039282012,-0.06955635698795959,8.694903711753552,220,8.694903711753552
10,22,38,300,-3061.4319099742106,-3061.433819206667,-0.07077485636818892,-0.0691745609683494,5.485009115567195,107,5.485009115567195
1,14,58,436,-3061.4311042727586,-3061.4328402016513,-0.06996915491617983,-0.06819555595257043,7.999738349613878,202,7.999738349613878
3,14,2,12,-3061.459488415,-3061.4322517500004,-0.09835329715770058,-0.06760710430171457,5.600240420033489,124,5.600240420033489
1,3,69,461,-3061.426076411304,-3061.430740957267,-0.06494129346174304,-0.06609631156834439,3.272820880311473,36,3.272820880311473
7,14,6,40,-3061.4194500533335,-3061.43074066,-0.05831493549112565,-0.06609601430136536,4.759257867619514,72,4.759257867619514
7,8,12,75,-3061.411583975833,-3061.4280998094664,-0.05044885799043186,-0.06345516376768501,6.588881160340103,147,6.588881160340103
1,13,46,340,-3061.4230368863045,-3061.427199053059,-0.061901768462121254,-0.06255440736049422,5.589846423932145,123,5.589846423932145
13,19,14,108,-3061.428186287143,-3061.427004085556,-0.06705116930061195,-0.06235943985711856,9.312950531669985,241,9.312950531669985
1,20,112,868,-3061.422901790625,-3061.424342800185,-0.06176667278259629,-0.05969815448634108,5.098497140402175,83,5.098497140402175
3,24,4,28,-3061.4123224,-3061.4241385028577,-0.051187282157570735,-0.059493857158940955,5.109192470792499,85,5.109192470792499
1,22,92,708,-3061.419059704022,-3061.4212498118645,-0.05792458617952434,-0.05660516616580935,5.111510240729947,86,5.111536385685342
14,19,15,116,-3061.4194625873333,-3061.417980755518,-0.05832746949090506,-0.05333610981915626,6.065810393063199,135,6.065810393063199
13,20,13,100,-3061.419967536154,-3061.4172340620003,-0.058832418311794754,-0.05258941630154368,6.07202364102088,136,6.07202364102088
1,21,88,676,-3061.413607432955,-3061.417050695798,-0.05247231511248174,-0.05240605009930732,6.912992194075853,161,6.912992194075853
8,21,11,80,-3061.4089038718184,-3061.416962693501,-0.04776875397601543,-0.052318047802145884,5.333361443182534,94,5.333361443182534
3,8,3,10,-3061.37802556,-3061.416488396,-0.016890442157546204,-0.05184375030148658,3.2549270758793485,33,3.2549270758793485
2,13,2,12,-3061.41840376,-3061.4160686833334,-0.05726864215739624,-0.051424037634660635,7.856218075012777,195,7.856218075012777
10,24,39,308,-3061.4149953661536,-3061.414862966363,-0.053860248311139,-0.050218320664498606,9.328309267788116,244,9.328309267788116
10,18,38,300,-3061.415216616316,-3061.4143989628,-0.05408149847335153,-0.04975431710136036,8.675681032157607,219,8.675681032157607
11,18,39,308,-3061.4155834205126,-3061.4142474155838,-0.05444830267015277,-0.0496027698850412,4.492055143783369,46,4.492369567715944
3,23,3,20,-3061.39415409,-3061.41281565,-0.033018972157606186,-0.04817100430136634,6.858902806031287,158,6.858902806031287
