r_lower_ang,r_upper_ang,r_center_ang,n_lattice_pairs,random_pair_fraction,all_weighted_pair_occurrences,all_pair_fraction,low_weighted_pair_occurrences,low_pair_fraction,all_over_random,low_over_random
3.1,3.2,3.1500000000000004,22,0.07971014492753623,4701.0,0.07373423677771504,0.0,0.0,0.9250295159386069,0.0
3.2,3.3000000000000003,3.25,26,0.09420289855072464,6387.0,0.10017880670054582,106.0,0.016588419405320815,1.0634365634365635,0.17609245214879019
3.3000000000000003,3.4000000000000004,3.3500000000000005,0,0.0,0.0,0.0,0.0,0.0,nan,nan
3.4000000000000004,3.5000000000000004,3.45,0,0.0,0.0,0.0,0.0,0.0,nan,nan
3.5,3.6,3.55,0,0.0,0.0,0.0,0.0,0.0,nan,nan
3.6,3.7,3.6500000000000004,0,0.0,0.0,0.0,0.0,0.0,nan,nan
3.7,3.8000000000000003,3.75,0,0.0,0.0,0.0,0.0,0.0,nan,nan
3.8000000000000003,3.9000000000000004,3.8500000000000005,0,0.0,0.0,0.0,0.0,0.0,nan,nan
3.9000000000000004,4.0,3.95,0,0.0,0.0,0.0,0.0,0.0,nan,nan
4.0,4.1,4.05,0,0.0,0.0,0.0,0.0,0.0,nan,nan
4.1,4.199999999999999,4.1499999999999995,0,0.0,0.0,0.0,0.0,0.0,nan,nan
4.2,4.3,4.25,0,0.0,0.0,0.0,0.0,0.0,nan,nan
4.300000000000001,4.4,4.3500000000000005,0,0.0,0.0,0.0,0.0,0.0,nan,nan
4.4,4.5,4.45,15,0.05434782608695652,3612.0,0.05665349143610013,272.0,0.042566510172143975,1.0424242424242425,0.7832237871674491
4.5,4.6,4.55,9,0.03260869565217391,1938.0,0.030397139092791268,64.0,0.01001564945226917,0.9321789321789322,0.3071465832029212
4.6,4.699999999999999,4.6499999999999995,11,0.03985507246376811,3066.0,0.04808959156785244,48.0,0.007511737089201878,1.206611570247934,0.1884763124199744
4.7,4.8,4.75,5,0.018115942028985508,624.0,0.009787314135140222,96.0,0.015023474178403756,0.5402597402597402,0.8292957746478873
4.800000000000001,4.9,4.8500000000000005,1,0.0036231884057971015,74.0,0.001160675073718552,46.0,0.007198748043818467,0.3203463203463203,1.9868544600938969
4.9,5.0,4.95,2,0.007246376811594203,148.0,0.002321350147437104,42.0,0.006572769953051643,0.3203463203463203,0.9070422535211267
5.0,5.1,5.05,8,0.028985507246376812,2210.0,0.034663404228621617,420.0,0.06572769953051644,1.1958874458874458,2.267605633802817
5.1,5.199999999999999,5.1499999999999995,9,0.03260869565217391,2188.0,0.03431833866616475,320.0,0.050078247261345854,1.0524290524290525,1.5357329160146063
5.2,5.3,5.25,1,0.0036231884057971015,128.0,0.002007654181567225,16.0,0.0025039123630672924,0.5541125541125541,0.6910798122065727
5.300000000000001,5.4,5.3500000000000005,5,0.018115942028985508,700.0,0.010979358805445762,64.0,0.01001564945226917,0.6060606060606061,0.5528638497652582
5.4,5.5,5.45,14,0.050724637681159424,3732.0,0.05853566723131941,324.0,0.05070422535211268,1.1539888682745825,0.9995975855130784
5.5,5.6,5.55,14,0.050724637681159424,4964.0,0.07785933872890395,1148.0,0.17965571205007824,1.5349412492269636,3.5417840375586853
5.6,5.699999999999999,5.6499999999999995,6,0.021739130434782608,272.0,0.004266265135830353,48.0,0.007511737089201878,0.19624819624819625,0.3455399061032864
5.7,5.8,5.75,3,0.010869565217391304,364.0,0.005709266578831796,0.0,0.0,0.5252525252525253,0.0
5.800000000000001,5.9,5.8500000000000005,2,0.007246376811594203,152.0,0.0023840893406110795,0.0,0.0,0.32900432900432897,0.0
5.9,6.0,5.95,1,0.0036231884057971015,4.0,6.273919317397578e-05,0.0,0.0,0.017316017316017316,0.0
6.0,6.1,6.05,4,0.014492753623188406,1112.0,0.017441495702365268,32.0,0.005007824726134585,1.2034632034632036,0.34553990610328633
6.1,6.199999999999999,6.1499999999999995,6,0.021739130434782608,1508.0,0.023652675826588872,184.0,0.028794992175273867,1.0880230880230881,1.324569640062598
6.2,6.3,6.25,0,0.0,0.0,0.0,0.0,0.0,nan,nan
6.300000000000001,6.4,6.3500000000000005,0,0.0,0.0,0.0,0.0,0.0,nan,nan
6.4,6.5,6.45,0,0.0,0.0,0.0,0.0,0.0,nan,nan
6.5,6.6,6.55,3,0.010869565217391304,490.0,0.007685551163812033,26.0,0.004068857589984351,0.7070707070707071,0.37433489827856026
6.6,6.699999999999999,6.6499999999999995,4,0.014492753623188406,1240.0,0.019449149883932492,104.0,0.016275430359937403,1.3419913419913418,1.1230046948356809
6.7,6.8,6.75,4,0.014492753623188406,796.0,0.01248509944162118,160.0,0.025039123630672927,0.8614718614718614,1.727699530516432
6.800000000000001,6.9,6.8500000000000005,5,0.018115942028985508,1130.0,0.01772382207164816,128.0,0.02003129890453834,0.9783549783549784,1.1057276995305163
6.9,7.0,6.95,12,0.043478260869565216,3572.0,0.056026099504360376,456.0,0.07136150234741784,1.2886002886002887,1.6413145539906102
7.0,7.1,7.05,3,0.010869565217391304,136.0,0.0021331325679151765,32.0,0.005007824726134585,0.19624819624819625,0.4607198748043818
7.1,7.199999999999999,7.1499999999999995,2,0.007246376811594203,108.0,0.0016939582156973462,8.0,0.0012519561815336462,0.2337662337662338,0.17276995305164317
7.200000000000001,7.300000000000001,7.250000000000001,3,0.010869565217391304,1320.0,0.020703933747412008,64.0,0.01001564945226917,1.9047619047619049,0.9214397496087636
7.300000000000001,7.4,7.3500000000000005,5,0.018115942028985508,1728.0,0.02710333145115754,52.0,0.008137715179968702,1.4961038961038962,0.4492018779342723
7.4,7.5,7.45,7,0.025362318840579712,568.0,0.008908965430704562,132.0,0.020657276995305163,0.3512677798392084,0.814486921529175
7.5,7.6,7.55,2,0.007246376811594203,864.0,0.01355166572557877,68.0,0.010641627543035994,1.8701298701298703,1.468544600938967
7.6,7.699999999999999,7.6499999999999995,1,0.0036231884057971015,34.0,0.0005332831419787941,0.0,0.0,0.14718614718614717,0.0
7.700000000000001,7.800000000000001,7.750000000000001,1,0.0036231884057971015,4.0,6.273919317397578e-05,0.0,0.0,0.017316017316017316,0.0
7.800000000000001,7.9,7.8500000000000005,2,0.007246376811594203,38.0,0.0005960223351527699,0.0,0.0,0.08225108225108224,0.0
7.9,8.0,7.95,7,0.025362318840579712,3396.0,0.05326557500470544,712.0,0.11142410015649452,2.100185528756957,4.393293091884641
8.0,8.1,8.05,4,0.014492753623188406,120.0,0.0018821757952192735,48.0,0.007511737089201878,0.12987012987012986,0.5183098591549296
8.1,8.2,8.149999999999999,3,0.010869565217391304,164.0,0.002572306920133007,72.0,0.011267605633802818,0.23665223665223664,1.0366197183098593
8.200000000000001,8.3,8.25,6,0.021739130434782608,1072.0,0.016814103770625508,76.0,0.01189358372456964,0.7734487734487734,0.5471048513302035
8.3,8.4,8.350000000000001,2,0.007246376811594203,776.0,0.012171403475751302,152.0,0.02378716744913928,1.6796536796536796,3.2826291079812204
8.4,8.5,8.45,0,0.0,0.0,0.0,0.0,0.0,nan,nan
8.5,8.6,8.55,1,0.0036231884057971015,12.0,0.00018821757952192734,0.0,0.0,0.051948051948051945,0.0
8.6,8.7,8.649999999999999,2,0.007246376811594203,568.0,0.008908965430704562,64.0,0.01001564945226917,1.2294372294372296,1.3821596244131453
8.700000000000001,8.8,8.75,7,0.025362318840579712,2184.0,0.034255599472990776,186.0,0.02910798122065728,1.3506493506493504,1.1476861167002013
8.8,8.9,8.850000000000001,2,0.007246376811594203,462.0,0.007246376811594203,14.0,0.002190923317683881,1.0,0.30234741784037555
8.9,9.0,8.95,2,0.007246376811594203,387.0,0.006070016939582157,135.0,0.02112676056338028,0.8376623376623377,2.915492957746479
9.0,9.1,9.05,4,0.014492753623188406,587.0,0.009206976598280946,95.0,0.01486697965571205,0.6352813852813852,1.0258215962441315
9.1,9.2,9.149999999999999,2,0.007246376811594203,420.0,0.006587615283267457,20.0,0.003129890453834116,0.9090909090909091,0.431924882629108
9.200000000000001,9.3,9.25,2,0.007246376811594203,152.0,0.0023840893406110795,0.0,0.0,0.32900432900432897,0.0
9.3,9.4,9.350000000000001,6,0.021739130434782608,1696.0,0.026601417905765732,176.0,0.02754303599374022,1.2236652236652237,1.26697965571205
9.4,9.5,9.45,3,0.010869565217391304,906.0,0.014210427253905514,96.0,0.015023474178403756,1.3073593073593073,1.3821596244131455
9.5,9.6,9.55,1,0.0036231884057971015,18.0,0.000282326369282891,0.0,0.0,0.07792207792207792,0.0
9.6,9.7,9.649999999999999,0,0.0,0.0,0.0,0.0,0.0,nan,nan
9.700000000000001,9.8,9.75,0,0.0,0.0,0.0,0.0,0.0,nan,nan
9.8,9.9,9.850000000000001,1,0.0036231884057971015,34.0,0.0005332831419787941,0.0,0.0,0.14718614718614717,0.0
9.9,10.0,9.95,2,0.007246376811594203,888.0,0.013928100884622624,84.0,0.013145539906103286,1.922077922077922,1.8140845070422533
10.0,10.1,10.05,1,0.0036231884057971015,2.0,3.136959658698789e-05,0.0,0.0,0.008658008658008658,0.0
10.1,10.2,10.149999999999999,0,0.0,0.0,0.0,0.0,0.0,nan,nan
