r_lower_ang,r_upper_ang,r_center_ang,pairs_in_bin,weighted_pair_occurrences,weighted_pair_fraction,weighted_configs_with_bin,presence_delta_eV,slope_eV_per_pair,weighted_corr
3.1,3.2,3.1500000000000004,22,4701.0,0.07373423677771504,4251,0.10909684850867052,0.1700824497955091,0.6814183118879776
3.2,3.3000000000000003,3.25,26,6387.0,0.10017880670054582,5350,0.05209840160341628,0.08842525928553228,0.40130373609350156
3.3000000000000003,3.4000000000000004,3.3500000000000005,0,0.0,0.0,0,nan,nan,nan
3.4000000000000004,3.5000000000000004,3.45,0,0.0,0.0,0,nan,nan,nan
3.5,3.6,3.55,0,0.0,0.0,0,nan,nan,nan
3.6,3.7,3.6500000000000004,0,0.0,0.0,0,nan,nan,nan
3.7,3.8000000000000003,3.75,0,0.0,0.0,0,nan,nan,nan
3.8000000000000003,3.9000000000000004,3.8500000000000005,0,0.0,0.0,0,nan,nan,nan
3.9000000000000004,4.0,3.95,0,0.0,0.0,0,nan,nan,nan
4.0,4.1,4.05,0,0.0,0.0,0,nan,nan,nan
4.1,4.199999999999999,4.1499999999999995,0,0.0,0.0,0,nan,nan,nan
4.2,4.3,4.25,0,0.0,0.0,0,nan,nan,nan
4.300000000000001,4.4,4.3500000000000005,0,0.0,0.0,0,nan,nan,nan
4.4,4.5,4.45,15,3612.0,0.05665349143610013,3258,-0.003019737305749004,0.00381117515826068,0.014283170744180559
4.5,4.6,4.55,9,1938.0,0.030397139092791268,1798,0.040617658913106425,0.04718021398072812,0.13437891473481464
4.6,4.699999999999999,4.6499999999999995,11,3066.0,0.04808959156785244,2602,0.030597370002851676,0.04019937646742723,0.14861484292319155
4.7,4.8,4.75,5,624.0,0.009787314135140222,616,-0.012937027678162849,-0.013250835335717068,-0.021469172804530475
4.800000000000001,4.9,4.8500000000000005,1,74.0,0.001160675073718552,74,-0.17700523268013058,-0.1782465506519166,-0.10078702121752142
4.9,5.0,4.95,2,148.0,0.002321350147437104,148,-0.08173993335549312,-0.08289449626441069,-0.06605352145965564
5.0,5.1,5.05,8,2210.0,0.034663404228621617,2074,-0.055064588526420266,-0.054413784551668946,-0.16140747596189237
5.1,5.199999999999999,5.1499999999999995,9,2188.0,0.03431833866616475,2096,-0.03885890743231357,-0.041579108970025404,-0.12022007164491282
5.2,5.3,5.25,1,128.0,0.002007654181567225,128,-0.03026008148890469,-0.030629036571239616,-0.022719136962161195
5.300000000000001,5.4,5.3500000000000005,5,700.0,0.010979358805445762,696,-0.014802970707933127,-0.015281248617347268,-0.0259319870754245
5.4,5.5,5.45,14,3732.0,0.05853566723131941,3334,0.01245196148283867,0.01753865313000281,0.06610599921925013
5.5,5.6,5.55,14,4964.0,0.07785933872890395,3816,-0.06426106554818034,-0.06815106646199831,-0.3228181387211104
5.6,5.699999999999999,5.6499999999999995,6,272.0,0.004266265135830353,272,-0.07769756636025704,-0.07973868458247867,-0.08562642726417263
5.7,5.8,5.75,3,364.0,0.005709266578831796,352,0.05338447035774152,0.0551490806901061,0.07049304686896027
5.800000000000001,5.9,5.8500000000000005,2,152.0,0.0023840893406110795,152,0.10405914517195924,0.10556926451949229,0.08523457479081264
5.9,6.0,5.95,1,4.0,6.273919317397578e-05,4,0.3126374156986458,0.31275514773011515,0.04125131857356443
6.0,6.1,6.05,4,1112.0,0.017441495702365268,1100,-0.009568535209837137,-0.01183664681614993,-0.02493074142476947
6.1,6.199999999999999,6.1499999999999995,6,1508.0,0.023652675826588872,1454,-0.0008453925952380814,-0.0020912721330382644,-0.0051649750698852534
6.2,6.3,6.25,0,0.0,0.0,0,nan,nan,nan
6.300000000000001,6.4,6.3500000000000005,0,0.0,0.0,0,nan,nan,nan
6.4,6.5,6.45,0,0.0,0.0,0,nan,nan,nan
6.5,6.6,6.55,3,490.0,0.007685551163812033,489,0.05158661128189124,0.054195527648322674,0.07745013763761223
6.6,6.699999999999999,6.6499999999999995,4,1240.0,0.019449149883932492,1228,0.006913215374424908,0.007414297975071081,0.016361687475831263
6.7,6.8,6.75,4,796.0,0.01248509944162118,796,-0.08440914043058001,-0.09124430582445484,-0.1633199688861247
6.800000000000001,6.9,6.8500000000000005,5,1130.0,0.01772382207164816,1118,-0.03584305596359627,-0.03923379816212985,-0.08320905141340147
6.9,7.0,6.95,12,3572.0,0.056026099504360376,3183,-0.03934680946940716,-0.047305565796756,-0.17577188988169207
7.0,7.1,7.05,3,136.0,0.0021331325679151765,136,-0.08341171988968199,-0.08449313017833411,-0.06457714223579213
7.1,7.199999999999999,7.1499999999999995,2,108.0,0.0016939582156973462,108,-0.015401947634927637,-0.015560096557317738,-0.01061184683209826
7.200000000000001,7.300000000000001,7.250000000000001,3,1320.0,0.020703933747412008,1252,0.026608241992562398,0.032310920900516536,0.07660725459206774
7.300000000000001,7.4,7.3500000000000005,5,1728.0,0.02710333145115754,1688,0.02037624626655088,0.02422232128813152,0.06243374195723647
