shell_index,shell_distance_ang,pairs_in_shell,weighted_configs_with_shell,presence_delta_eV,slope_eV_per_pair,weighted_corr
1,3.1058189149724584,1,64,0.24468672069860986,0.24616938971026386,0.12950822222410074
2,3.107989664900712,2,224,0.1694457394487472,0.17309463827696572,0.16906989138803166
3,3.112291784913846,1,104,0.09369818646791828,0.09462430425616676,0.06333864115314294
4,3.118643179870653,1,128,0.12406957476150637,0.1255823300997775,0.09315089460708795
5,3.120387673047533,3,540,0.18113513577281992,0.19083303120137807,0.28497721294423
6,3.1240026404836017,1,816,0.19886719373789674,0.21540905205246155,0.3899812768303235
7,3.127532466762579,1,20,-0.031405402301516006,-0.031464624257734976,-0.009272857447070928
8,3.130459532710344,1,4,0.09438743569853614,0.09442297982565598,0.012454063345472237
9,3.131461082290413,1,4,0.2649857856986273,0.2650855732262367,0.03496386713304444
10,3.13527214538598,1,84,0.3233906366508563,0.32596745447073266,0.1962798033740361
11,3.143718361413292,1,28,0.026316469984067226,0.02638599830436145,0.009197392653606386
12,3.1504942202558412,1,1676,0.05173974906119838,0.061428667433326846,0.15223686899202962
13,3.15702873190199,1,274,0.2108631554801832,0.21644434796204284,0.23325657093180732
14,3.161909975748966,1,246,0.1679313925283168,0.17191126945834634,0.1757805430748444
15,3.1651026585465867,1,222,0.17209252741031378,0.17576462862734138,0.17092609237466394
16,3.171696619858139,1,182,0.1343767429516447,0.13671842881821833,0.12061363566050003
17,3.1772334520609578,1,4,0.1874857456987229,0.18755634850029207,0.02473803145570106
18,3.187970886818586,1,75,0.13822843196567192,0.13921100540602466,0.07924123535861424
19,3.199872401707602,1,6,-0.024261304301035125,-0.024275011255078836,-0.003921006369223498
20,3.2053995758567293,1,346,0.1320056422887319,0.13644863374817748,0.16466603280618425
21,3.207833910970422,2,553,0.12725585736279754,0.13424210665223069,0.20273604304247725
22,3.2111969686046984,1,182,0.1370952505344576,0.13948430985719196,0.12305370881522161
23,3.216601655906893,2,448,0.07595632645688966,0.07929965856888013,0.10835320750289484
24,3.219236361684953,2,542,0.1346922878760779,0.14102620962278514,0.21215300630288816
25,3.2243117633649234,3,302,0.1378787034468587,0.13929223171273852,0.16508403413280398
26,3.2327156489098057,2,146,0.06689476761630431,0.06782669853707125,0.0536856198468433
27,3.240726196979226,1,652,0.073897389195281,0.0787280587094948,0.1284660132720225
28,3.243056628698508,1,114,-0.030152582371101744,-0.03047957955698971,-0.021350315542612616
29,3.2442933000006375,2,658,0.06996513931608206,0.0745836246332842,0.12222517597315681
30,3.2470971712180767,1,290,-0.030261114163295133,-0.03111015858401714,-0.034464953625443946
31,3.2484153023877815,1,132,0.04568200812354917,0.046256624574996165,0.03483627082306875
32,3.252354141322561,1,316,0.01387099709108952,0.014296141131517023,0.016511705160474136
