site_i,site_j,count_unique,count_weighted,mean_energy_eV,weighted_mean_energy_eV,delta_from_global_mean_eV,delta_from_weighted_global_mean_eV,distance_ang,shell_index,shell_distance_ang
4,5,1,8,-3068.66521944,-3068.66521944,-0.21608088383391078,-0.21608088383482027,5.227614344504001,17,5.227614344504001
8,11,1,8,-3068.62508932,-3068.62508932,-0.1759507638339528,-0.1759507638348623,5.669731535508125,21,5.669731535508125
3,6,1,8,-3068.62321085,-3068.62321085,-0.17407229383388767,-0.17407229383479716,5.227614344504001,17,5.227614344504001
8,12,1,8,-3068.61613584,-3068.61613584,-0.16699728383400725,-0.16699728383491674,7.420448365266943,34,7.420448365266942
8,19,1,8,-3068.60948064,-3068.60948064,-0.16034208383416626,-0.16034208383507575,7.332777215274482,31,7.332777215274482
12,24,1,8,-3068.60655421,-3068.60655421,-0.15741565383405032,-0.1574156538349598,9.563750737591869,41,9.563750737591869
8,9,1,8,-3068.59237904,-3068.59237904,-0.1432404838342336,-0.1432404838351431,5.701928924865133,23,5.701928924865132
4,21,1,8,-3068.58897808,-3068.58897808,-0.13983952383387077,-0.13983952383478027,5.023330797886719,15,5.023330797886719
3,10,1,8,-3068.58623995,-3068.58623995,-0.13710139383420028,-0.13710139383510977,6.742312297182429,27,6.742312297182429
10,12,1,8,-3068.58498701,-3068.58498701,-0.13584845383411448,-0.13584845383502397,5.315721755550377,19,5.315721755550377
5,10,1,8,-3068.5845414,-3068.5845414,-0.13540284383407197,-0.13540284383498147,5.669731535508124,21,5.669731535508125
8,20,1,8,-3068.58421516,-3068.58421516,-0.13507660383402254,-0.13507660383493203,6.912663219221404,29,6.912663219221404
3,22,1,8,-3068.58334237,-3068.58334237,-0.1342038138341195,-0.134203813835029,5.023330797886718,15,5.023330797886719
11,13,2,16,-3068.5822931499997,-3068.5822931499997,-0.13315459383375128,-0.13315459383466077,5.672236288443717,22,5.672236288443717
8,18,1,8,-3068.58175279,-3068.58175279,-0.13261423383391957,-0.13261423383482907,5.58735726542248,20,5.58735726542248
5,9,1,8,-3068.58096498,-3068.58096498,-0.13182642383389975,-0.13182642383480925,7.420448365266942,34,7.420448365266942
10,13,2,16,-3068.574291655,-3068.574291655,-0.12515309883383452,-0.12515309883474401,8.29903156375417,38,8.299031563754172
11,24,1,8,-3068.57187331,-3068.57187331,-0.12273475383381083,-0.12273475383472032,7.819099115132924,35,7.819099115132924
1,8,8,64,-3068.5716684725003,-3068.5716684725003,-0.1225299163343152,-0.1225299163352247,5.227614344504001,17,5.227614344504001
4,10,1,8,-3068.56703796,-3068.56703796,-0.11789940383414432,-0.11789940383505382,7.042727953332134,30,7.042727953332134
