shell_index,shell_distance_ang,pairs_in_shell,weighted_configs_with_shell,presence_delta_eV,slope_eV_per_pair,weighted_corr
1,3.061700497795151,8,176,0.1155611761646469,0.1265670024675232,0.34428304098010637
2,3.068717600000001,8,176,0.1302514693466037,0.14265637119050556,0.38804876730217797
3,3.0716043662158445,8,176,0.05098380889285181,0.055839409740252706,0.1518923686040629
4,3.0975466432898333,8,176,0.12604402980105078,0.13804822311685003,0.37551384744823074
5,3.1009971132818523,8,176,0.12908729798391505,0.14138132636366232,0.38458043589025104
6,3.170546181982675,4,88,0.042109826164960396,0.044023909173591703,0.08667032691347616
7,3.212767445393916,4,88,0.021714112528570695,0.022701117644595616,0.04469192592144047
8,4.333319347524346,4,88,0.04845395343772907,0.050656405867763425,0.09972779199386567
9,4.3348630482114245,8,176,0.016404402073476376,0.01796672608222717,0.04887244677879594
10,4.340491916117552,4,88,0.04542017434641821,0.0474847277272365,0.09348367631981527
11,4.3418637808095735,8,176,-0.012511618380813161,-0.013703201082289012,-0.03727495830505204
12,4.559981382654201,8,176,-0.037767750197872374,-0.041364678787887056,-0.11251872229425126
13,4.6790113803362985,8,176,-0.019232506561820628,-0.021064173852824136,-0.05729801360860065
14,4.943546357426238,8,176,0.029639743437655852,0.03246257614716846,0.08830354054456839
15,5.023330797886719,8,176,-0.0627973520163323,-0.06877805220774284,-0.18708760186405007
16,5.102390558280013,8,176,-0.054282919289562415,-0.05945272112554445,-0.16172116921941673
17,5.227614344504001,4,88,-0.12476474747154498,-0.13043587235539567,-0.2567904556978322
18,5.3098666909988035,4,88,-0.008518282926161191,-0.008905477603273855,-0.017532306187370193
19,5.315721755550377,4,88,-0.04989032565345042,-0.05215806772738771,-0.10268412928263164
20,5.58735726542248,8,176,0.03800122116444982,0.04162038508662665,0.11321428543797368
21,5.669731535508125,8,176,-0.01638382383453063,-0.017944188008694652,-0.048811139515904906
22,5.672236288443717,4,88,-0.03516078656230093,-0.0367590041321815,-0.07236783295612247
23,5.701928924865132,8,176,-0.00018443292628944619,-0.00020199796542970616,-0.0005494676531331979
24,5.760365501598244,8,176,0.019500255710227066,0.02135742292209306,0.058095699256235374
25,5.954078983394901,4,88,0.08350622434682009,0.08730196181813354,0.17187227833697927
26,6.6602595914554055,8,176,-0.01928871474456173,-0.021125735194807545,-0.05746547057298838
27,6.742312297182429,8,176,-0.02846493247034232,-0.031175878419911523,-0.08480351132900821
28,6.860113746560602,8,176,-0.0336645588349711,-0.03687070729434803,-0.10029438149681051
29,6.912663219221404,8,176,-0.042224909744618344,-0.04624632971858852,-0.12579761485439164
30,7.042727953332134,8,176,-0.04456315837978764,-0.048807268701322744,-0.13276378963574098
31,7.332777215274482,8,176,-0.018888302471168572,-0.020687188419888276,-0.056272551294363864
32,7.348691999999999,4,88,-0.0448025983801017,-0.04683908012395087,-0.09221258318206105
33,7.400382948641156,8,176,-0.020799236107905017,-0.022780115735883764,-0.06196565745041866
34,7.420448365266942,8,176,-0.040188389743889275,-0.04401585543286808,-0.11973035834246781
35,7.819099115132924,8,176,-0.007954867016451317,-0.008712473398236201,-0.023699359055080093
36,8.003476569775717,4,88,-0.06109121474401036,-0.06386808814050515,-0.1257377680080444
37,8.170357637418263,4,88,-0.018847668380203686,-0.0197043805785165,-0.038792218556366005
38,8.299031563754172,4,88,-0.06344412656244458,-0.0663279504958816,-0.13058052455794478
39,8.49415781138749,4,88,-0.008225940198371973,-0.008599846570237895,-0.016930607200492852
40,9.15209380415214,12,264,-0.04757736322881101,-0.0547139677121081,-0.17788704690489812
41,9.563750737591869,8,176,-0.0381391870164407,-0.041771490541149627,-0.11362531710007852
