#step;attempt;energy_eV;energy_low_eV;energy_high_eV
1;1;  -3057.3967141100;  -3057.3967141100;  -3059.6650332100
2;2;  -3057.2553845400;  -3057.2553845400;  -3059.5955105900
3;3;  -3057.7309134900;  -3057.7309134900;  -3059.8188165000
4;4;  -3057.3793313500;  -3057.3793313500;  -3059.6860055500
5;5;  -3057.7779722000;  -3057.7779722000;  -3059.8571214900
6;6;  -3057.3461207600;  -3057.3461207600;  -3059.5902447300
7;7;  -3057.2921082300;  -3057.2921082300;  -3059.5702990200
8;8;  -3057.5318427900;  -3057.5318427900;  -3059.7834649600
9;9;  -3057.7051152500;  -3057.7051152500;  -3059.7422954900
10;10;  -3057.6403471400;  -3057.6403471400;  -3059.7405079500
11;11;  -3057.0837870400;  -3057.0837870400;  -3059.6052437500
12;12;  -3057.6091352200;  -3057.6091352200;  -3059.8186092600
13;13;  -3057.6358013000;  -3057.6358013000;  -3059.8543081300
14;14;  -3057.0850018000;  -3057.0850018000;  -3059.6133242400
15;15;  -3057.3805855300;  -3057.3805855300;  -3059.7726052100
16;16;  -3057.7872091700;  -3057.7872091700;  -3059.7953073500
17;17;  -3057.6918243500;  -3057.6918243500;  -3059.8016055900
18;18;  -3057.3604541900;  -3057.3604541900;  -3059.7397136500
19;19;  -3057.5561728800;  -3057.5561728800;  -3059.7768677700
20;20;  -3057.5055727700;  -3057.5055727700;  -3059.7119282000
21;21;  -3057.5162337600;  -3057.5162337600;  -3059.8839316200
22;22;  -3057.3486679800;  -3057.3486679800;  -3059.7596641200
23;23;  -3057.7243271800;  -3057.7243271800;  -3059.8136850900
24;24;  -3057.7471350200;  -3057.7471350200;  -3059.7817996600
25;25;  -3057.3239627900;  -3057.3239627900;  -3059.6905818600
26;26;  -3057.3394679700;  -3057.3394679700;  -3059.7374581800
27;27;  -3057.3846846900;  -3057.3846846900;  -3059.7353064900
28;28;  -3057.6032759900;  -3057.6032759900;  -3059.8363678700
29;29;  -3057.4445196200;  -3057.4445196200;  -3059.8419783300
30;30;  -3057.3331756600;  -3057.3331756600;  -3059.6578500400
31;31;  -3057.7052543000;  -3057.7052543000;  -3059.8122454000
32;32;  -3057.5819364800;  -3057.5819364800;  -3059.8346217500
33;33;  -3057.5748587500;  -3057.5748587500;  -3059.7863488900
34;34;  -3057.2001804100;  -3057.2001804100;  -3059.5839100200
